"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.isActive","away.venue.id","season","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","series.type","series.title","series.summary","series.completed","series.totalCompetitions","series.competitors","away.color","away.alternateColor","away.logo","status.type.altDetail","game_id","PBP","odds","situation.lastPlay.id","situation.lastPlay.type.id","situation.lastPlay.type.text","situation.lastPlay.text","situation.lastPlay.scoreValue","situation.lastPlay.team.id","situation.lastPlay.athletesInvolved"
310625005,"s:40~l:59~e:310625005~c:310625005","2011-06-25T23:00Z",0,"True","False","False","False","[]","2011-06-25T23:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",5,"s:40~l:59~t:5","Indiana","Fever","IND","Indiana Fever","Fever","e2382f","08265b","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/ind.png",18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","True",2160,2011,NA,"","","",NA,"","","","","",NA,"","de6b36","002d62","https://a.espncdn.com/i/teamlogos/wnba/500/conn.png","",310625005,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310624014,"s:40~l:59~e:310624014~c:310624014","2011-06-25T02:00Z",0,"True","False","False","False","[]","2011-06-25T02:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","True",2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",8,"s:40~l:59~t:8","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","True",2029,2011,2184,"KeyArena","Seattle","WA",17459,"True","","","","",NA,"","005084","47a757","https://a.espncdn.com/i/teamlogos/wnba/500/min.png","",310624014,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310624017,"s:40~l:59~e:310624017~c:310624017","2011-06-25T00:00Z",0,"True","False","False","False","[]","2011-06-25T00:00Z",1,"STD",0,"0",5,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",17,"s:40~l:59~t:17","San Antonio","Silver Stars","SA","San Antonio Silver Stars","Silver Stars","000000","c7cfd4","False",780,"https://a.espncdn.com/i/teamlogos/wnba/500/sa.png",6,"s:40~l:59~t:6","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","True",1841,2011,NA,"","","",NA,"","","","","",NA,"","532481","49ac9c","https://a.espncdn.com/i/teamlogos/wnba/500/la.png","OT",310624017,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310624020,"s:40~l:59~e:310624020~c:310624020","2011-06-24T23:30Z",0,"True","False","False","False","[]","2011-06-24T23:30Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",20,"s:40~l:59~t:20","Atlanta","Dream","ATL","Atlanta Dream","Dream","5190cd","f1f2f3","True",1827,"https://a.espncdn.com/i/teamlogos/wnba/500/atl.png",11,"s:40~l:59~t:11","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","True",1949,2011,NA,"","","",NA,"","","","","",NA,"","3a267d","e56020","https://a.espncdn.com/i/teamlogos/wnba/500/phx.png","",310624020,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310623019,"s:40~l:59~e:310623019~c:310623019","2011-06-24T00:00Z",0,"True","False","False","False","[]","2011-06-24T00:00Z",1,"STD",0,"0",6,3,"STATUS_FINAL","post","True","Final","Final/2OT","Final/2OT",19,"s:40~l:59~t:19","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3","True",1847,"https://a.espncdn.com/i/teamlogos/wnba/500/chi.png",18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","True",2160,2011,NA,"","","",NA,"","","","","",NA,"","de6b36","002d62","https://a.espncdn.com/i/teamlogos/wnba/500/conn.png","2OT",310623019,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310623003,"s:40~l:59~e:310623003~c:310623003","2011-06-23T16:30Z",0,"True","False","False","False","[]","2011-06-23T16:30Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",3,"s:40~l:59~t:3","Tulsa","Shock","TUL","Tulsa Shock","Shock","11213e","c5d646","False",1911,"https://a.espncdn.com/i/teamlogos/wnba/500/tul.png",9,"s:40~l:59~t:9","New York","Liberty","NY","New York Liberty","Liberty","True",1826,2011,1911,"BOK Center","Tulsa","OK",0,"False","","","","",NA,"","0d79b9","89c9bf","https://a.espncdn.com/i/teamlogos/wnba/500/ny.png","",310623003,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310621006,"s:40~l:59~e:310621006~c:310621006","2011-06-22T02:00Z",0,"True","False","False","False","[]","2011-06-22T02:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",6,"s:40~l:59~t:6","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","532481","49ac9c","True",1841,"https://a.espncdn.com/i/teamlogos/wnba/500/la.png",9,"s:40~l:59~t:9","New York","Liberty","NY","New York Liberty","Liberty","True",1826,2011,1841,"STAPLES Center","Los Angeles","CA",19068,"True","","","","",NA,"","0d79b9","89c9bf","https://a.espncdn.com/i/teamlogos/wnba/500/ny.png","",310621006,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310621003,"s:40~l:59~e:310621003~c:310621003","2011-06-22T00:00Z",0,"True","False","False","False","[]","2011-06-22T00:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",3,"s:40~l:59~t:3","Tulsa","Shock","TUL","Tulsa Shock","Shock","11213e","c5d646","False",1911,"https://a.espncdn.com/i/teamlogos/wnba/500/tul.png",14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","True",2184,2011,1911,"BOK Center","Tulsa","OK",0,"False","","","","",NA,"","05452a","f7c43c","https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png","",310621003,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310621017,"s:40~l:59~e:310621017~c:310621017","2011-06-22T00:00Z",0,"True","False","False","False","[]","2011-06-22T00:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",17,"s:40~l:59~t:17","San Antonio","Silver Stars","SA","San Antonio Silver Stars","Silver Stars","000000","c7cfd4","False",780,"https://a.espncdn.com/i/teamlogos/wnba/500/sa.png",11,"s:40~l:59~t:11","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","True",1949,2011,NA,"","","",NA,"","","","","",NA,"","3a267d","e56020","https://a.espncdn.com/i/teamlogos/wnba/500/phx.png","",310621017,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310621016,"s:40~l:59~e:310621016~c:310621016","2011-06-21T23:00Z",0,"True","False","False","False","[]","2011-06-21T23:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",16,"s:40~l:59~t:16","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","True",1823,"https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",5,"s:40~l:59~t:5","Indiana","Fever","IND","Indiana Fever","Fever","True",NA,2011,NA,"","","",NA,"","","","","",NA,"","e2382f","08265b","https://a.espncdn.com/i/teamlogos/wnba/500/ind.png","",310621016,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
