"game_id","season","season_type","home_team_name","away_team_name"
"401254115",2021,2,"TCU","Iowa State"
"401254116",2021,2,"West Virginia","Baylor"
"401254117",2021,2,"Kansas","Oklahoma"
"401254118",2021,2,"Baylor","Texas Tech"
"401254119",2021,2,"Oklahoma","Oklahoma State"
"401254121",2021,2,"Iowa State","Kansas St"
"401254122",2021,2,"Oklahoma State","West Virginia"
"401254123",2021,2,"Texas Tech","TCU"
"401254124",2021,2,"Kansas St","Texas"
"401254125",2021,2,"TCU","Baylor"
"401254128",2021,2,"Oklahoma State","Texas Tech"
"401254129",2021,2,"Texas","Iowa State"
"401254132",2021,2,"TCU","Oklahoma State"
"401254133",2021,2,"Texas Tech","Oklahoma"
"401254134",2021,2,"Texas Tech","Iowa State"
"401254137",2021,2,"West Virginia","Texas"
"401254141",2021,2,"Iowa State","Oklahoma State"
"401254142",2021,2,"West Virginia","Texas Tech"
"401254144",2021,2,"Baylor","Iowa State"
"401254147",2021,2,"TCU","Kansas"
"401254148",2021,2,"Texas Tech","Texas"
"401254149",2021,2,"Iowa State","Oklahoma"
"401254150",2021,2,"Oklahoma State","Baylor"
"401254151",2021,2,"Kansas","Texas Tech"
"401254153",2021,2,"West Virginia","Kansas St"
"401254154",2021,2,"Baylor","Oklahoma"
"401254155",2021,2,"Iowa State","Texas"
"401254156",2021,2,"Kansas","Kansas St"
"401254157",2021,2,"TCU","Texas Tech"
"401254159",2021,2,"Baylor","TCU"
"401254160",2021,2,"Kansas St","Iowa State"
"401254161",2021,2,"Oklahoma","Kansas"
"401254162",2021,2,"Oklahoma State","Texas"
"401254163",2021,2,"Texas Tech","West Virginia"
"401254164",2021,2,"Kansas","Oklahoma State"
"401254165",2021,2,"TCU","West Virginia"
"401254166",2021,2,"Texas","Texas Tech"
"401254167",2021,2,"Iowa State","Baylor"
"401254168",2021,2,"Kansas St","Oklahoma"
"401254169",2021,2,"Baylor","Kansas"
"401254170",2021,2,"Oklahoma","Texas"
"401254171",2021,2,"Oklahoma State","TCU"
"401254172",2021,2,"West Virginia","Iowa State"
"401254173",2021,2,"Texas Tech","Kansas St"
"401254174",2021,2,"Iowa State","Texas Tech"
"401254175",2021,2,"Kansas","TCU"
"401254176",2021,2,"Oklahoma State","Oklahoma"
"401254177",2021,2,"Texas","West Virginia"
"401254178",2021,2,"Kansas St","Baylor"
"401254179",2021,2,"Oklahoma","Iowa State"
"401254180",2021,2,"TCU","Kansas St"
