"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","home.conferenceId","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","away.conferenceId","status.type.altDetail","season","groups.id","groups.name","groups.shortName","groups.isConference","tournamentId","game_id","PBP","team_box","player_box"
400550784,"s:40~l:54~e:400550784~c:400550784","2014-04-05T19:00Z",12222,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - CHAMPIONSHIP""}]","2014-04-05T19:00Z",NA,"",2117,"Don Haskins Center","El Paso","TX",11892,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2638,"s:40~l:54~t:2638","UTEP","Miners","UTEP","UTEP Miners","UTEP","ff8200","041e42","True",2117,"https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png",11,164,"s:40~l:54~t:164","Rutgers","Scarlet Knights","RUTG","Rutgers Scarlet Knights","Rutgers","d21034","ffffff","True",2008,"https://a.espncdn.com/i/teamlogos/ncaa/500/164.png",62,"",2014,NA,"","","",37,400550784,TRUE,TRUE,TRUE
400550175,"s:40~l:54~e:400550175~c:400550175","2014-04-03T01:00Z",12222,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - SEMIFINAL""}]","2014-04-03T01:00Z",NA,"",2117,"Don Haskins Center","El Paso","TX",11892,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2638,"s:40~l:54~t:2638","UTEP","Miners","UTEP","UTEP Miners","UTEP","ff8200","041e42","True",2117,"https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png",11,2571,"s:40~l:54~t:2571","South Dakota State","Jackrabbits","SDST","South Dakota State Jackrabbits","South Dakota St","005DAB","c33139","True",1996,"https://a.espncdn.com/i/teamlogos/ncaa/500/2571.png",47,"",2014,NA,"","","",37,400550175,TRUE,TRUE,TRUE
400550174,"s:40~l:54~e:400550174~c:400550174","2014-04-02T23:00Z",1781,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - SEMIFINAL""}]","2014-04-02T23:00Z",NA,"",2041,"Yuengling Center","Tampa","FL",10411,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",58,"s:40~l:54~t:58","South Florida","Bulls","USF","South Florida Bulls","South Florida","004A36","231f20","True",2041,"https://a.espncdn.com/i/teamlogos/ncaa/500/58.png",62,164,"s:40~l:54~t:164","Rutgers","Scarlet Knights","RUTG","Rutgers Scarlet Knights","Rutgers","d21034","ffffff","True",2008,"https://a.espncdn.com/i/teamlogos/ncaa/500/164.png",62,"",2014,NA,"","","",37,400550174,TRUE,TRUE,TRUE
400549856,"s:40~l:54~e:400549856~c:400549856","2014-04-01T01:00Z",10227,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - QUARTERFINAL""}]","2014-04-01T01:00Z",NA,"",2117,"Don Haskins Center","El Paso","TX",11892,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2638,"s:40~l:54~t:2638","UTEP","Miners","UTEP","UTEP Miners","UTEP","ff8200","041e42","True",2117,"https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png",11,264,"s:40~l:54~t:264","Washington","Huskies","WASH","Washington Huskies","Washington","2B2F64","e8e3d3","True",782,"https://a.espncdn.com/i/teamlogos/ncaa/500/264.png",21,"",2014,NA,"","","",37,400549856,TRUE,TRUE,TRUE
400549658,"s:40~l:54~e:400549658~c:400549658","2014-03-31T23:00Z",2649,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - QUARTERFINAL""}]","2014-03-31T23:00Z",NA,"",2220,"Stroh Center","Bowling Green","OH",4347,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",189,"s:40~l:54~t:189","Bowling Green","Falcons","BGSU","Bowling Green Falcons","Bowling Green","2b1000","492000","True",2220,"https://a.espncdn.com/i/teamlogos/ncaa/500/189.png",14,164,"s:40~l:54~t:164","Rutgers","Scarlet Knights","RUTG","Rutgers Scarlet Knights","Rutgers","d21034","ffffff","True",2008,"https://a.espncdn.com/i/teamlogos/ncaa/500/164.png",62,"",2014,NA,"","","",37,400549658,TRUE,TRUE,TRUE
400549657,"s:40~l:54~e:400549657~c:400549657","2014-03-30T22:00Z",3006,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - QUARTERFINAL""}]","2014-03-30T22:00Z",NA,"",2095,"Humphrey Coliseum","Starkville","MS",10575,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",344,"s:40~l:54~t:344","Mississippi State","Bulldogs","MSST","Mississippi State Bulldogs","Mississippi St","762123","c8c8c8","True",2095,"https://a.espncdn.com/i/teamlogos/ncaa/500/344.png",23,58,"s:40~l:54~t:58","South Florida","Bulls","USF","South Florida Bulls","South Florida","004A36","231f20","True",2041,"https://a.espncdn.com/i/teamlogos/ncaa/500/58.png",62,"",2014,NA,"","","",37,400549657,TRUE,TRUE,TRUE
400549656,"s:40~l:54~e:400549656~c:400549656","2014-03-30T19:00Z",3792,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - QUARTERFINAL""}]","2014-03-30T19:00Z",NA,"",1996,"Frost Arena","Brookings","SD",6500,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2571,"s:40~l:54~t:2571","South Dakota State","Jackrabbits","SDST","South Dakota State Jackrabbits","South Dakota St","005DAB","c33139","True",1996,"https://a.espncdn.com/i/teamlogos/ncaa/500/2571.png",47,84,"s:40~l:54~t:84","Indiana","Hoosiers","IU","Indiana Hoosiers","Indiana","7D110C","eeedeb","True",2092,"https://a.espncdn.com/i/teamlogos/ncaa/500/84.png",7,"",2014,NA,"","","",37,400549656,TRUE,TRUE,TRUE
400548995,"s:40~l:54~e:400548995~c:400548995","2014-03-29T01:00Z",8234,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 3RD ROUND""}]","2014-03-29T01:00Z",NA,"",2117,"Don Haskins Center","El Paso","TX",11892,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2638,"s:40~l:54~t:2638","UTEP","Miners","UTEP","UTEP Miners","UTEP","ff8200","041e42","True",2117,"https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png",11,38,"s:40~l:54~t:38","Colorado","Buffaloes","COLO","Colorado Buffaloes","Colorado","d1c57e","ffd200","True",2207,"https://a.espncdn.com/i/teamlogos/ncaa/500/38.png",21,"",2014,NA,"","","",37,400548995,TRUE,TRUE,TRUE
400548998,"s:40~l:54~e:400548998~c:400548998","2014-03-28T00:00Z",1809,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 3RD ROUND""}]","2014-03-28T00:00Z",NA,"",2095,"Humphrey Coliseum","Starkville","MS",10575,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",344,"s:40~l:54~t:344","Mississippi State","Bulldogs","MSST","Mississippi State Bulldogs","Mississippi St","762123","c8c8c8","True",2095,"https://a.espncdn.com/i/teamlogos/ncaa/500/344.png",23,2,"s:40~l:54~t:2","Auburn","Tigers","AUB","Auburn Tigers","Auburn","03244d","f1f2f3","True",1953,"https://a.espncdn.com/i/teamlogos/ncaa/500/2.png",23,"",2014,NA,"","","",37,400548998,TRUE,TRUE,TRUE
400548882,"s:40~l:54~e:400548882~c:400548882","2014-03-28T00:00Z",3320,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 3RD ROUND""}]","2014-03-28T00:00Z",NA,"",1996,"Frost Arena","Brookings","SD",6500,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2571,"s:40~l:54~t:2571","South Dakota State","Jackrabbits","SDST","South Dakota State Jackrabbits","South Dakota St","005DAB","c33139","True",1996,"https://a.espncdn.com/i/teamlogos/ncaa/500/2571.png",47,135,"s:40~l:54~t:135","Minnesota","Golden Gophers","MINN","Minnesota Golden Gophers","Minnesota","981a31","981a31","True",2094,"https://a.espncdn.com/i/teamlogos/ncaa/500/135.png",7,"",2014,NA,"","","",37,400548882,TRUE,TRUE,TRUE
