id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,season,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,game_id
240402065,s:40~l:54~e:240402065~c:240402065,2004-02-09T23:00Z,0,True,False,True,False,[],2004-02-09T23:00Z,0,N/A,0.0,0:00,3,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,2065,s:40~l:54~t:2065,Bethune-Cookman,Lady Wildcats,COOK,Bethune-Cookman Lady Wildcats,Bethune-Cookman,7b1831,e9aa12,True,2073,https://a.espncdn.com/i/teamlogos/ncaa/500/2065.png,16,2154,s:40~l:54~t:2154,Coppin State,Eagles,COPP,Coppin State Eagles,Coppin State,2e3192,ffd204,True,2164,https://a.espncdn.com/i/teamlogos/ncaa/500/2154.png,16,2004,OT,16,Mid-Eastern Athletic Conference,MEAC,True,,240402065
240400047,s:40~l:54~e:240400047~c:240400047,2004-02-09T23:00Z,0,True,False,True,False,[],2004-02-09T23:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,47,s:40~l:54~t:47,Howard,Bison,HOW,Howard Bison,Howard,9e0b0e,6b818d,True,1978,https://a.espncdn.com/i/teamlogos/ncaa/500/47.png,16,2379,s:40~l:54~t:2379,Maryland-Eastern Shore,Lady Hawks,UMES,Maryland-Eastern Shore Lady Hawks,MD-Eastern,5c2301,b5b7ba,True,2064,https://a.espncdn.com/i/teamlogos/ncaa/500/2379.png,16,2004,,16,Mid-Eastern Athletic Conference,MEAC,True,,240400047
240402755,s:40~l:54~e:240402755~c:240402755,2004-02-09T23:30Z,0,True,False,True,False,[],2004-02-09T23:30Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2755,s:40~l:54~t:2755,Grambling,Lady Tigers,GRAM,Grambling Lady Tigers,Grambling,ee8601,ffd10a,True,1928,https://a.espncdn.com/i/teamlogos/ncaa/500/2755.png,26,2016,s:40~l:54~t:2016,Alcorn State,Lady Braves,ALCN,Alcorn State Lady Braves,Alcorn State,4b0058,46166a,True,2072,https://a.espncdn.com/i/teamlogos/ncaa/500/2016.png,26,2004,,26,Southwestern Athletic Conference,SWAC,True,,240402755
240402400,s:40~l:54~e:240402400~c:240402400,2004-02-09T23:30Z,0,True,False,True,False,[],2004-02-09T23:30Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2400,s:40~l:54~t:2400,Mississippi Valley State,Devilettes,MVSU,Mississippi Valley State Devilettes,Miss Valley St,005328,cf2d34,True,1988,https://a.espncdn.com/i/teamlogos/ncaa/500/2400.png,26,2010,s:40~l:54~t:2010,Alabama A&M,Bulldogs,AAMU,Alabama A&M Bulldogs,Alabama A&M,790000,ffffff,True,2122,https://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,26,2004,,26,Southwestern Athletic Conference,SWAC,True,,240402400
240402296,s:40~l:54~e:240402296~c:240402296,2004-02-09T23:30Z,0,True,False,True,False,[],2004-02-09T23:30Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2296,s:40~l:54~t:2296,Jackson State,Lady Tigers,JKST,Jackson State Lady Tigers,Jackson State,123297,b5b7ba,True,1945,https://a.espncdn.com/i/teamlogos/ncaa/500/2296.png,26,2582,s:40~l:54~t:2582,Southern,Lady Jaguars,SOU,Southern Lady Jaguars,Southern,004B97,ffc82d,True,2210,https://a.espncdn.com/i/teamlogos/ncaa/500/2582.png,26,2004,,26,Southwestern Athletic Conference,SWAC,True,,240402296
240402029,s:40~l:54~e:240402029~c:240402029,2004-02-09T23:30Z,0,True,False,True,False,[],2004-02-09T23:30Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2029,s:40~l:54~t:2029,Arkansas-Pine Bluff,Golden Lions,ARPB,Arkansas-Pine Bluff Golden Lions,Ark-Pine Bluff,e0aa0f,eaaa00,True,2105,https://a.espncdn.com/i/teamlogos/ncaa/500/2029.png,26,2011,s:40~l:54~t:2011,Alabama St,Lady Hornets,ALST,Alabama St Lady Hornets,Alabama State,e9a900,0a0a0a,True,2204,https://a.espncdn.com/i/teamlogos/ncaa/500/2011.png,26,2004,,26,Southwestern Athletic Conference,SWAC,True,,240402029
240402598,s:40~l:54~e:240402598~c:240402598,2004-02-10T00:00Z,0,True,False,True,False,[],2004-02-10T00:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2598,s:40~l:54~t:2598,St. Francis (PA),Red Flash,SFPA,St. Francis (PA) Red Flash,St. Fran. (PA),a20012,,True,2149,https://a.espncdn.com/i/teamlogos/ncaa/500/2598.png,19,2681,s:40~l:54~t:2681,Wagner,Seahawks,WAG,Wagner Seahawks,Wagner,00483A,ffffff,True,2085,https://a.espncdn.com/i/teamlogos/ncaa/500/2681.png,19,2004,,19,Northeast Conference,NEC,True,,240402598
240402542,s:40~l:54~e:240402542~c:240402542,2004-02-10T00:00Z,0,True,False,False,False,[],2004-02-10T00:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2542,s:40~l:54~t:2542,Savannah State,Tigers,SAV,Savannah State Tigers,Savannah State,280298,f78f1e,True,1931,https://a.espncdn.com/i/teamlogos/ncaa/500/2542.png,43,2169,s:40~l:54~t:2169,Delaware State,Lady Hornets,DSU,Delaware State Lady Hornets,Delaware State,FF3630,009cdd,True,1957,https://a.espncdn.com/i/teamlogos/ncaa/500/2169.png,16,2004,,,,,,,240402542
240402430,s:40~l:54~e:240402430~c:240402430,2004-02-10T00:00Z,0,True,False,True,False,[],2004-02-10T00:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2430,s:40~l:54~t:2430,UNC Greensboro,Spartans,UNCG,UNC Greensboro Spartans,UNC Greensboro,003559,ffd90a,True,1921,https://a.espncdn.com/i/teamlogos/ncaa/500/2430.png,24,232,s:40~l:54~t:232,Charleston,Cougars,COFC,Charleston Cougars,Charleston,9c8456,e4e2dd,True,1955,https://a.espncdn.com/i/teamlogos/ncaa/500/232.png,24,2004,,24,Southern Conference,Southern,True,,240402430
240402193,s:40~l:54~e:240402193~c:240402193,2004-02-10T00:00Z,0,True,False,True,False,[],2004-02-10T00:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2193,s:40~l:54~t:2193,East Tennessee State,Bucs,ETSU,East Tennessee State Bucs,ETSU,002d61,ffc423,True,2006,https://a.espncdn.com/i/teamlogos/ncaa/500/2193.png,24,2717,s:40~l:54~t:2717,Western Carolina,Catamounts,WCU,Western Carolina Catamounts,W Carolina,492F91,bf9e70,True,245,https://a.espncdn.com/i/teamlogos/ncaa/500/2717.png,24,2004,,24,Southern Conference,Southern,True,,240402193
