"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","home.conferenceId","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","away.conferenceId","season","status.type.altDetail","groups.id","groups.name","groups.shortName","groups.isConference","tournamentId","game_id","PBP"
230940239,"s:40~l:54~e:230940239~c:230940239","2003-04-05T02:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'WNIT CHAMPIONSHIP'}]","2003-04-05T02:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",239,"s:40~l:54~t:239","Baylor","Bears","BAY","Baylor Bears","Baylor","004834","ffb81c","True",1049,"https://a.espncdn.com/i/teamlogos/ncaa/500/239.png",8,2,"s:40~l:54~t:2","Auburn","Tigers","AUB","Auburn Tigers","Auburn","03244d","f1f2f3","True",1953,"https://a.espncdn.com/i/teamlogos/ncaa/500/2.png",23,2003,"",NA,"","","",37,230940239,TRUE
230742692,"s:40~l:54~e:230742692~c:230742692","2003-03-16T02:05Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'BIG SKY TOURNAMENT'}]","2003-03-16T02:05Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2692,"s:40~l:54~t:2692","Weber State","Wildcats","WEB","Weber State Wildcats","Weber State","18005a","ebebeb","True",2198,"https://a.espncdn.com/i/teamlogos/ncaa/500/2692.png",5,147,"s:40~l:54~t:147","Montana State","Bobcats","MTST","Montana State Bobcats","Montana State","003875","bf965c","True",2065,"https://a.espncdn.com/i/teamlogos/ncaa/500/147.png",5,2003,"",5,"Big Sky Conference","Big Sky","True",NA,230742692,TRUE
230740251,"s:40~l:54~e:230740251~c:230740251","2003-03-16T00:00Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'BIG 12 TOURNAMENT'}]","2003-03-16T00:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",251,"s:40~l:54~t:251","Texas","Longhorns","TEX","Texas Longhorns","Texas","EE7524","f0f0f0","True",2195,"https://a.espncdn.com/i/teamlogos/ncaa/500/251.png",8,2641,"s:40~l:54~t:2641","Texas Tech","Lady Raiders","TTU","Texas Tech Lady Raiders","Texas Tech","C80025","231f20","True",2047,"https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png",8,2003,"",8,"Big 12 Conference","Big 12","True",NA,230740251,TRUE
230740167,"s:40~l:54~e:230740167~c:230740167","2003-03-15T23:30Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'MOUNTAIN WEST TR'}]","2003-03-15T23:30Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",167,"s:40~l:54~t:167","New Mexico","Lobos","UNM","New Mexico Lobos","New Mexico","000000","231f20","True",2024,"https://a.espncdn.com/i/teamlogos/ncaa/500/167.png",44,252,"s:40~l:54~t:252","BYU","Cougars","BYU","BYU Cougars","BYU","001E4C","ffffff","True",2108,"https://a.espncdn.com/i/teamlogos/ncaa/500/252.png",44,2003,"",44,"Mountain West Conference","Mountain West","True",NA,230740167,TRUE
230742636,"s:40~l:54~e:230742636~c:230742636","2003-03-15T21:30Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'SOUTHLAND CONF TR'}]","2003-03-15T21:30Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2636,"s:40~l:54~t:2636","UTSA","Roadrunners","UTSA","UTSA Roadrunners","UTSA","002A5C","f47321","True",2115,"https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png",11,326,"s:40~l:54~t:326","Texas State","Bobcats","TXST","Texas State Bobcats","Texas State","4e1719","b4975a","True",2010,"https://a.espncdn.com/i/teamlogos/ncaa/500/326.png",27,2003,"",NA,"","","",NA,230742636,TRUE
230740311,"s:40~l:54~e:230740311~c:230740311","2003-03-15T21:07Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'AMERICA EAST CONF TR'}]","2003-03-15T21:07Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",311,"s:40~l:54~t:311","Maine","Black Bears","ME","Maine Black Bears","Maine","127dbe","","True",4605,"https://a.espncdn.com/i/teamlogos/ncaa/500/311.png",1,104,"s:40~l:54~t:104","Boston University","Terriers","BU","Boston University Terriers","Boston Univ.","cc0000","ffffff","True",1999,"https://a.espncdn.com/i/teamlogos/ncaa/500/104.png",1,2003,"",1,"America East Conference","Am. East","True",NA,230740311,TRUE
230742540,"s:40~l:54~e:230742540~c:230742540","2003-03-15T21:00Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'BIG WEST TOURNAMENT'}]","2003-03-15T21:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2540,"s:40~l:54~t:2540","UC Santa Barbara","Gauchos","UCSB","UC Santa Barbara Gauchos","UCSB","1D1160","fdb813","True",470,"https://a.espncdn.com/i/teamlogos/ncaa/500/2540.png",9,279,"s:40~l:54~t:279","Pacific","Tigers","PAC","Pacific Tigers","Pacific","F47820","c2c3c0","True",553,"https://a.espncdn.com/i/teamlogos/ncaa/500/279.png",9,2003,"",9,"Big West Conference","Big West","True",NA,230742540,TRUE
230742598,"s:40~l:54~e:230742598~c:230742598","2003-03-15T21:00Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'NORTHEAST CONF TR'}]","2003-03-15T21:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2598,"s:40~l:54~t:2598","St. Francis (PA)","Red Flash","SFPA","St. Francis (PA) Red Flash","St. Fran. (PA)","a20012","","True",2149,"https://a.espncdn.com/i/teamlogos/ncaa/500/2598.png",19,2378,"s:40~l:54~t:2378","UMBC","Retrievers","UMBC","UMBC Retrievers","UMBC","000000","ad860a","True",6008,"https://a.espncdn.com/i/teamlogos/ncaa/500/2378.png",19,2003,"",19,"Northeast Conference","NEC","True",NA,230742598,TRUE
230742261,"s:40~l:54~e:230742261~c:230742261","2003-03-15T21:00Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'MEAC TOURNAMENT'}]","2003-03-15T21:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2261,"s:40~l:54~t:2261","Hampton","Lady Pirates","HAMP","Hampton Lady Pirates","Hampton","0067AC","","True",2017,"https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png",16,2169,"s:40~l:54~t:2169","Delaware State","Lady Hornets","DSU","Delaware State Lady Hornets","Delaware State","FF3630","009cdd","True",1957,"https://a.espncdn.com/i/teamlogos/ncaa/500/2169.png",16,2003,"",16,"Mid-Eastern Athletic Conference","MEAC","True",NA,230742261,TRUE
230742247,"s:40~l:54~e:230742247~c:230742247","2003-03-15T21:00Z",0,"True","False","True","False","[{'type': 'event', 'headline': 'ATLANTIC SUN CONF TR'}]","2003-03-15T21:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2247,"s:40~l:54~t:2247","Georgia State","Panthers","GAST","Georgia State Panthers","Georgia State","1e539a","ebebeb","True",2057,"https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png",46,2116,"s:40~l:54~t:2116","UCF","Knights","UCF","UCF Knights","UCF","000000","231f20","True",4484,"https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png",46,2003,"",46,"ASUN Conference","ASUN","True",NA,230742247,TRUE
