"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","home.conferenceId","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","away.conferenceId","season","status.type.altDetail","tournamentId","groups.id","groups.name","groups.shortName","groups.isConference","game_id","PBP","team_box","player_box"
263293084,"s:40~l:54~e:263293084~c:263293084","2006-11-25T22:05Z",0,"True","False","False","False","[]","2006-11-25T22:05Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",3084,"s:40~l:54~t:3084","Utah Valley","Wolverines","UVU","Utah Valley Wolverines","Utah Valley","004812","e1c736","True",2091,"https://a.espncdn.com/i/teamlogos/ncaa/500/3084.png",43,166,"s:40~l:54~t:166","New Mexico State","Aggies","NMSU","New Mexico State Aggies","New Mexico St","891216","000000","True",1937,"https://a.espncdn.com/i/teamlogos/ncaa/500/166.png",30,2007,"",NA,NA,"","","",263293084,TRUE,FALSE,FALSE
263292636,"s:40~l:54~e:263292636~c:263292636","2006-11-25T22:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'UTSA CLASSIC'}]","2006-11-25T22:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2636,"s:40~l:54~t:2636","UTSA","Roadrunners","UTSA","UTSA Roadrunners","UTSA","002A5C","f47321","True",2115,"https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png",11,202,"s:40~l:54~t:202","Tulsa","Golden Hurricane","TLSA","Tulsa Golden Hurricane","Tulsa","004371","ee3b33","True",2049,"https://a.espncdn.com/i/teamlogos/ncaa/500/202.png",11,2007,"",NA,NA,"","","",263292636,TRUE,FALSE,FALSE
263292541,"s:40~l:54~e:263292541~c:263292541","2006-11-25T22:00Z",0,"True","False","False","False","[]","2006-11-25T22:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2541,"s:40~l:54~t:2541","Santa Clara","Broncos","SCU","Santa Clara Broncos","Santa Clara","690b0b","101010","True",544,"https://a.espncdn.com/i/teamlogos/ncaa/500/2541.png",29,265,"s:40~l:54~t:265","Washington State","Cougars","WSU","Washington State Cougars","Washington St","94022a","6a747c","True",2052,"https://a.espncdn.com/i/teamlogos/ncaa/500/265.png",21,2007,"",NA,NA,"","","",263292541,TRUE,FALSE,FALSE
263292501,"s:40~l:54~e:263292501~c:263292501","2006-11-25T22:00Z",0,"True","False","False","False","[]","2006-11-25T22:00Z",0,"N/A",0,"0:00",3,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",2501,"s:40~l:54~t:2501","Portland","Pilots","PORT","Portland Pilots","Portland","0e034e","f0f0f0","True",2136,"https://a.espncdn.com/i/teamlogos/ncaa/500/2501.png",29,13,"s:40~l:54~t:13","Cal Poly","Mustangs","CP","Cal Poly Mustangs","Cal Poly","1E4D2B","eed897","True",812,"https://a.espncdn.com/i/teamlogos/ncaa/500/13.png",9,2007,"OT",NA,NA,"","","",263292501,TRUE,FALSE,FALSE
263292447,"s:40~l:54~e:263292447~c:263292447","2006-11-25T22:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'MIAMI THANKSGIVING TR AT CORAL GABLES FL'}]","2006-11-25T22:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2447,"s:40~l:54~t:2447","Nicholls St","Colonels","NICH","Nicholls St Colonels","Nicholls","C41230","f0f0f0","True",2067,"https://a.espncdn.com/i/teamlogos/ncaa/500/2447.png",25,2750,"s:40~l:54~t:2750","Wright State","Raiders","WRST","Wright State Raiders","Wright State","E9AF10","e2b629","True",192,"https://a.espncdn.com/i/teamlogos/ncaa/500/2750.png",45,2007,"",NA,NA,"","","",263292447,TRUE,FALSE,FALSE
263292433,"s:40~l:54~e:263292433~c:263292433","2006-11-25T22:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'BOBCAT CLASSIC AT SAN MARCOS TX'}]","2006-11-25T22:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2433,"s:40~l:54~t:2433","UL Monroe","Warhawks","ULM","UL Monroe Warhawks","UL Monroe","231F20","b18445","True",2061,"https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png",27,292,"s:40~l:54~t:292","UT Rio Grande Valley","Vaqueros","UTRGV","UT Rio Grande Valley Vaqueros","UT Rio Grande","dc6000","e1732d","True",2153,"https://a.espncdn.com/i/teamlogos/ncaa/500/292.png",43,2007,"",NA,NA,"","","",263292433,TRUE,FALSE,FALSE
263292065,"s:40~l:54~e:263292065~c:263292065","2006-11-25T22:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'SOUTH CAROLINA CLASSIC AT COLUMBIA SC'}]","2006-11-25T22:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2065,"s:40~l:54~t:2065","Bethune-Cookman","Lady Wildcats","COOK","Bethune-Cookman Lady Wildcats","Bethune-Cookman","7b1831","e9aa12","True",2073,"https://a.espncdn.com/i/teamlogos/ncaa/500/2065.png",16,2382,"s:40~l:54~t:2382","Mercer","Bears","MER","Mercer Bears","Mercer","ff7f29","080808","True",1974,"https://a.espncdn.com/i/teamlogos/ncaa/500/2382.png",46,2007,"",NA,NA,"","","",263292065,TRUE,FALSE,FALSE
263290294,"s:40~l:54~e:263290294~c:263290294","2006-11-25T22:00Z",0,"True","False","False","False","[]","2006-11-25T22:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",294,"s:40~l:54~t:294","Jacksonville","Dolphins","JAC","Jacksonville Dolphins","Jacksonville","00523e","","True",1994,"https://a.espncdn.com/i/teamlogos/ncaa/500/294.png",46,2127,"s:40~l:54~t:2127","Charleston Southern","Buccaneers","CHSO","Charleston Southern Buccaneers","Charleston So","2e3192","ded090","True",2187,"https://a.espncdn.com/i/teamlogos/ncaa/500/2127.png",6,2007,"",NA,NA,"","","",263290294,TRUE,FALSE,FALSE
263290277,"s:40~l:54~e:263290277~c:263290277","2006-11-25T22:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'LMU/AYRES HOTEL THANKSGIVING TR AT LOS ANGELES CA'}]","2006-11-25T22:00Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",277,"s:40~l:54~t:277","West Virginia","Mountaineers","WVU","West Virginia Mountaineers","West Virginia","FFC600","eaaa00","True",2199,"https://a.espncdn.com/i/teamlogos/ncaa/500/277.png",4,44,"s:40~l:54~t:44","American","Eagles","AMER","American Eagles","American","c41130","c8102e","True",1910,"https://a.espncdn.com/i/teamlogos/ncaa/500/44.png",22,2007,"",NA,NA,"","","",263290277,TRUE,FALSE,FALSE
263292217,"s:40~l:54~e:263292217~c:263292217","2006-11-25T21:30Z",0,"True","False","False","False","[]","2006-11-25T21:30Z",0,"N/A",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2217,"s:40~l:54~t:2217","Fairfield","Stags","FAIR","Fairfield Stags","Fairfield","000000","ebebeb","True",1259,"https://a.espncdn.com/i/teamlogos/ncaa/500/2217.png",13,108,"s:40~l:54~t:108","Harvard","Crimson","HARV","Harvard Crimson","Harvard","990000","dbdbdb","True",2209,"https://a.espncdn.com/i/teamlogos/ncaa/500/108.png",12,2007,"",NA,NA,"","","",263292217,TRUE,FALSE,FALSE
