,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,tournamentId,status.type.altDetail,season,groups.id,groups.name,groups.shortName,groups.isConference,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor
0,320632571,s:40~l:54~e:320632571~c:320632571,2012-03-03T18:00Z,0,True,True,True,False,"[{'type': 'event', 'headline': ""SUMMIT LEAGUE WOMEN'S CHAMPIONSHIP - QUARTERFINAL AT SIOUX FALLS SD""}]",2012-03-03T18:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2571,s:40~l:54~t:2571,South Dakota State,Jackrabbits,SDST,South Dakota State Jackrabbits,South Dakota St,005DAB,c33139,True,1996,https://a.espncdn.com/i/teamlogos/ncaa/500/2571.png,47,2870,s:40~l:54~t:2870,Purdue Fort Wayne,Mastodons,PFW,Purdue Fort Wayne Mastodons,Purdue FW,00378A,f0f0f0,True,1261,https://a.espncdn.com/i/teamlogos/ncaa/500/2870.png,47,,,2012,47,Summit League,Summit,True,,,,,,
0,320632545,s:40~l:54~e:320632545~c:320632545,2012-03-03T18:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ''}]",2012-03-03T18:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2545,s:40~l:54~t:2545,SE Louisiana,Lady Lions,SELA,SE Louisiana Lady Lions,SE Louisiana,007550,dca008,True,2040,https://a.espncdn.com/i/teamlogos/ncaa/500/2545.png,25,2447,s:40~l:54~t:2447,Nicholls,Colonels,NICH,Nicholls Colonels,Nicholls,C41230,f0f0f0,True,2067,https://a.espncdn.com/i/teamlogos/ncaa/500/2447.png,25,,,2012,,,,,1974,Hawkins Arena,Macon,GA,3500.0,True
0,320632529,s:40~l:54~e:320632529~c:320632529,2012-03-03T18:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ""NORTHEAST WOMEN'S TOURNAMENT - QUARTERFINAL""}]",2012-03-03T18:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2529,s:40~l:54~t:2529,Sacred Heart,Pioneers,SHU,Sacred Heart Pioneers,Sacred Heart,a40012,c29472,True,1916,https://a.espncdn.com/i/teamlogos/ncaa/500/2529.png,19,161,s:40~l:54~t:161,Fairleigh Dickinson,Knights,FDU,Fairleigh Dickinson Knights,Fair. Dickinson,00449C,a80532,True,2076,https://a.espncdn.com/i/teamlogos/ncaa/500/161.png,19,,,2012,19,Northeast Conference,NEC,True,,,,,,
0,320632229,s:40~l:54~e:320632229~c:320632229,2012-03-03T18:00Z,0,True,True,True,False,"[{'type': 'event', 'headline': ""SUN BELT WOMEN'S CHAMPIONSHIP - 1st ROUND AT HOT SPRINGS AR""}]",2012-03-03T18:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2229,s:40~l:54~t:2229,Florida International,Panthers,FIU,Florida International Panthers,FIU,001538,c5960c,True,2216,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,27,309,s:40~l:54~t:309,Louisiana,Ragin' Cajuns,ULL,Louisiana Ragin' Cajuns,Louisiana,ce2842,,True,373,https://a.espncdn.com/i/teamlogos/ncaa/500/309.png,27,,,2012,27,Sun Belt Conference,Sun Belt,True,,,,,,
0,320632674,s:40~l:54~e:320632674~c:320632674,2012-03-03T18:05Z,0,True,False,True,False,"[{'type': 'event', 'headline': ''}]",2012-03-03T18:05Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2674,s:40~l:54~t:2674,Valparaiso,,VALP,Valparaiso,Valparaiso,794500,,True,2159,https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png,45,2174,s:40~l:54~t:2174,Detroit Mercy,Titans,DET,Detroit Mercy Titans,Detroit Mercy,165b9e,d31733,True,2005,https://a.espncdn.com/i/teamlogos/ncaa/500/2174.png,45,,,2012,45,Horizon League,Horizon,True,3373,Intrust Bank Arena,Wichita,KS,0.0,True
0,320632433,s:40~l:54~e:320632433~c:320632433,2012-03-03T18:15Z,0,True,True,True,False,"[{'type': 'event', 'headline': ""SUN BELT WOMEN'S CHAMPIONSHIP - 1st ROUND AT HOT SPRINGS AR""}]",2012-03-03T18:15Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2433,s:40~l:54~t:2433,UL Monroe,Warhawks,ULM,UL Monroe Warhawks,UL Monroe,231F20,b18445,True,2061,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,27,98,s:40~l:54~t:98,Western Kentucky,Lady Toppers,WKU,Western Kentucky Lady Toppers,Western KY,F32026,b3b5b8,True,1971,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png,27,,,2012,27,Sun Belt Conference,Sun Belt,True,,,,,,
0,320632885,s:40~l:54~e:320632885~c:320632885,2012-03-03T19:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ''}]",2012-03-03T19:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2885,s:40~l:54~t:2885,NJIT,Highlanders,NJIT,NJIT Highlanders,NJIT,EE3024,df3e2e,True,5420,https://a.espncdn.com/i/teamlogos/ncaa/500/2885.png,1,2130,s:40~l:54~t:2130,Chicago State,Cougars,CHIC,Chicago State Cougars,Chicago State,006700,,True,1951,https://a.espncdn.com/i/teamlogos/ncaa/500/2130.png,30,,,2012,,,,,1909,Fleisher Center,Newark,NJ,1500.0,True
0,320632514,s:40~l:54~e:320632514~c:320632514,2012-03-03T19:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ""NORTHEAST WOMEN'S TOURNAMENT - QUARTERFINAL""}]",2012-03-03T19:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2514,s:40~l:54~t:2514,Quinnipiac,Bobcats,QUIN,Quinnipiac Bobcats,Quinnipiac,041B43,,True,1907,https://a.espncdn.com/i/teamlogos/ncaa/500/2514.png,19,116,s:40~l:54~t:116,Mount St. Mary's,Mountaineers,MSM,Mount St. Mary's Mountaineers,Mt. St. Mary's,005596,ebebeb,True,2175,https://a.espncdn.com/i/teamlogos/ncaa/500/116.png,19,,,2012,19,Northeast Conference,NEC,True,1907,People's United Center,Hamden,CT,3570.0,True
0,320632320,s:40~l:54~e:320632320~c:320632320,2012-03-03T19:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ''}]",2012-03-03T19:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2320,s:40~l:54~t:2320,Lamar,Cardinals,LAM,Lamar Cardinals,Lamar,000000,ebebeb,True,1896,https://a.espncdn.com/i/teamlogos/ncaa/500/2320.png,25,2377,s:40~l:54~t:2377,McNeese,Cowgirls,MCNS,McNeese Cowgirls,McNeese,00529C,,True,2063,https://a.espncdn.com/i/teamlogos/ncaa/500/2377.png,25,,,2012,,,,,1896,Montagne Center,Beaumont,TX,10080.0,True
0,320632117,s:40~l:54~e:320632117~c:320632117,2012-03-03T19:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ""MAC WOMEN'S TOURNAMENT - 1st ROUND""}]",2012-03-03T19:00Z,16,SEMI,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2117,s:40~l:54~t:2117,Central Michigan,Chippewas,CMU,Central Michigan Chippewas,Cent Michigan,6a0032,ffffff,True,2087,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,14,2050,s:40~l:54~t:2050,Ball State,Cardinals,BALL,Ball State Cardinals,Ball State,DA0000,ffffff,True,299,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,14,16.0,,2012,14,Mid-American Conference,MAC,True,,,,,,
