id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,status.type.altDetail,season,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,game_id
401256374,s:40~l:54~e:401256374~c:401256374,2021-01-02T19:00Z,250,True,False,True,False,[],2021-01-02T19:00Z,0,N/A,7117,Liberty Arena,Lynchburg,VA,4000,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,2335,s:40~l:54~t:2335,Liberty,Flames,LIB,Liberty Flames,Liberty,071740,a61f21,True,7117,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,46,288,s:40~l:54~t:288,Lipscomb,Bisons,LIP,Lipscomb Bisons,Lipscomb,20366C,f6b734,True,2038,https://a.espncdn.com/i/teamlogos/ncaa/500/288.png,46,,2021,46,ASUN Conference,ASUN,True,,401256374
401256341,s:40~l:54~e:401256341~c:401256341,2021-01-02T19:00Z,0,True,False,True,False,[],2021-01-02T19:00Z,0,N/A,2117,Don Haskins Center,El Paso,TX,11892,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,2638,s:40~l:54~t:2638,UTEP,Miners,UTEP,UTEP Miners,UTEP,ff8200,041e42,True,2117,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,11,2572,s:40~l:54~t:2572,Southern Miss,Golden Eagles,USM,Southern Miss Golden Eagles,Southern Miss,FFAA3C,ffc423,True,2009,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,11,,2021,11,Conference USA,C-USA,True,,401256341
401255571,s:40~l:54~e:401255571~c:401255571,2021-01-02T19:00Z,250,True,False,True,False,[],2021-01-02T19:00Z,0,N/A,1940,Chartway Arena,Norfolk,VA,8472,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,295,s:40~l:54~t:295,Old Dominion,Monarchs,ODU,Old Dominion Monarchs,Old Dominion,00507d,a1d2f1,True,1940,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,11,2229,s:40~l:54~t:2229,Florida International,Panthers,FIU,Florida International Panthers,FIU,001538,c5960c,True,2216,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,11,,2021,11,Conference USA,C-USA,True,,401255571
401254852,s:40~l:54~e:401254852~c:401254852,2021-01-02T19:00Z,0,True,False,True,False,[],2021-01-02T19:00Z,0,N/A,2090,NIU Convocation Center,Dekalb,IL,10000,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,2459,s:40~l:54~t:2459,Northern Illinois,Huskies,NIU,Northern Illinois Huskies,N Illinois,F1122C,cc0000,True,2090,https://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,14,2711,s:40~l:54~t:2711,Western Michigan,Broncos,WMU,Western Michigan Broncos,W Michigan,B59966,bfa979,True,1972,https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,14,,2021,14,Mid-American Conference,MAC,True,,401254852
401254851,s:40~l:54~e:401254851~c:401254851,2021-01-02T19:00Z,0,True,False,True,False,[],2021-01-02T19:00Z,0,N/A,2134,Millett Hall,Oxford,OH,6400,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,193,s:40~l:54~t:193,Miami (OH),Redhawks,M-OH,Miami (OH) Redhawks,Miami (OH),a4000c,f0f0f0,True,2134,https://a.espncdn.com/i/teamlogos/ncaa/500/193.png,14,2084,s:40~l:54~t:2084,Buffalo,Bulls,BUFF,Buffalo Bulls,Buffalo,041A9B,ebebeb,True,2107,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,14,,2021,14,Mid-American Conference,MAC,True,,401254851
401254848,s:40~l:54~e:401254848~c:401254848,2021-01-02T19:00Z,0,True,False,True,False,[],2021-01-02T19:00Z,0,N/A,2116,Savage Arena,Toledo,OH,7014,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,2649,s:40~l:54~t:2649,Toledo,Rockets,TOL,Toledo Rockets,Toledo,ffffff,ffd51d,True,2116,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,14,2006,s:40~l:54~t:2006,Akron,Zips,AKR,Akron Zips,Akron,00285e,84754e,True,2203,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,14,,2021,14,Mid-American Conference,MAC,True,,401254848
401254251,s:40~l:54~e:401254251~c:401254251,2021-01-02T19:00Z,0,True,False,True,False,[],2021-01-02T19:00Z,0,N/A,2023,J. Lawrence Walkup Skydome,Flagstaff,AZ,3300,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,2464,s:40~l:54~t:2464,Northern Arizona,Lumberjacks,NAU,Northern Arizona Lumberjacks,N Arizona,003976,1b3069,True,2023,https://a.espncdn.com/i/teamlogos/ncaa/500/2464.png,5,70,s:40~l:54~t:70,Idaho,Vandals,IDHO,Idaho Vandals,Idaho,000000,8c6e4a,True,2018,https://a.espncdn.com/i/teamlogos/ncaa/500/70.png,5,,2021,5,Big Sky Conference,Big Sky,True,,401254251
401274559,s:40~l:54~e:401274559~c:401274559,2021-01-02T20:00Z,0,True,False,False,False,[],2021-01-02T20:00Z,0,N/A,2091,UCCU Center,Orem,UT,8500,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,3084,s:40~l:54~t:3084,Utah Valley,Wolverines,UVU,Utah Valley Wolverines,Utah Valley,004812,e1c736,True,2091,https://a.espncdn.com/i/teamlogos/ncaa/500/3084.png,30,147,s:40~l:54~t:147,Montana State,Bobcats,MTST,Montana State Bobcats,Montana State,003875,bf965c,True,2065,https://a.espncdn.com/i/teamlogos/ncaa/500/147.png,5,,2021,,,,,,401274559
401274095,s:40~l:54~e:401274095~c:401274095,2021-01-02T20:00Z,471,True,False,True,False,[],2021-01-02T20:00Z,0,N/A,1948,McLeod Center,Cedar Falls,IA,6500,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,2460,s:40~l:54~t:2460,Northern Iowa,Panthers,UNI,Northern Iowa Panthers,Northern Iowa,473282,ffffff,True,1948,https://a.espncdn.com/i/teamlogos/ncaa/500/2460.png,18,2287,s:40~l:54~t:2287,Illinois State,Redbirds,ILST,Illinois State Redbirds,Illinois State,CE1126,ffe716,True,1932,https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png,18,,2021,18,Missouri Valley Conference,MVC,True,,401274095
401264149,s:40~l:54~e:401264149~c:401264149,2021-01-02T20:00Z,587,True,False,True,False,[],2021-01-02T20:00Z,0,N/A,2086,Charles Koch Arena,Wichita,KS,10506,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,2724,s:40~l:54~t:2724,Wichita State,Shockers,WICH,Wichita State Shockers,Wichita State,0d0a03,ffc41e,True,2086,https://a.espncdn.com/i/teamlogos/ncaa/500/2724.png,62,2132,s:40~l:54~t:2132,Cincinnati,Bearcats,CIN,Cincinnati Bearcats,Cincinnati,000000,717073,True,201,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,62,,2021,62,American Athletic Conference,American,True,,401264149
401262734,s:40~l:54~e:401262734~c:401262734,2021-01-02T20:00Z,0,True,False,True,False,[],2021-01-02T20:00Z,0,N/A,2028,ExtraMile Arena,Boise,ID,12380,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,68,s:40~l:54~t:68,Boise State,Broncos,BSU,Boise State Broncos,Boise State,09347A,d8d9da,True,2028,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,44,23,s:40~l:54~t:23,San José State,Spartans,SJSU,San José State Spartans,San José State,005893,fdba31,True,2192,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png,44,,2021,44,Mountain West Conference,Mountain West,True,,401262734
401259938,s:40~l:54~e:401259938~c:401259938,2021-01-02T20:00Z,48,True,False,True,False,[],2021-01-02T20:00Z,0,N/A,2012,Sharp Gymnasium,Houston,TX,1000,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,2277,s:40~l:54~t:2277,Houston Baptist,Huskies,HBU,Houston Baptist Huskies,Houston Baptist,00539c,,True,2012,https://a.espncdn.com/i/teamlogos/ncaa/500/2277.png,25,2466,s:40~l:54~t:2466,Northwestern State,Lady Demons,NWST,Northwestern State Lady Demons,Northwestern St,492F91,ed6118,True,1939,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,25,,2021,25,Southland Conference,Southland,True,,401259938
401259693,s:40~l:54~e:401259693~c:401259693,2021-01-02T20:00Z,0,True,False,True,False,[],2021-01-02T20:00Z,0,N/A,2186,Christl Arena,West Point,NY,5043,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,349,s:40~l:54~t:349,Army,Black Knights,ARMY,Army Black Knights,Army,ce9c00,231f20,True,2186,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png,22,2142,s:40~l:54~t:2142,Colgate,Raiders,COLG,Colgate Raiders,Colgate,8B011D,231f20,True,2188,https://a.espncdn.com/i/teamlogos/ncaa/500/2142.png,22,,2021,22,Patriot League,Patriot,True,,401259693
401259196,s:40~l:54~e:401259196~c:401259196,2021-01-02T20:00Z,535,True,False,True,False,[],2021-01-02T20:00Z,0,N/A,2079,William R. Johnson Coliseum,Nacogdoches,TX,7203,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,2617,s:40~l:54~t:2617,Stephen F. Austin,Ladyjacks,SFA,Stephen F. Austin Ladyjacks,SF Austin,393996,bec0c2,True,2079,https://a.espncdn.com/i/teamlogos/ncaa/500/2617.png,25,2443,s:40~l:54~t:2443,New Orleans,Privateers,UNO,New Orleans Privateers,New Orleans,2b3986,a2a9ae,True,1926,https://a.espncdn.com/i/teamlogos/ncaa/500/2443.png,25,,2021,25,Southland Conference,Southland,True,,401259196
401258292,s:40~l:54~e:401258292~c:401258292,2021-01-02T20:00Z,370,True,False,True,False,[],2021-01-02T20:00Z,0,N/A,1917,Show Me Center,Cape Girardeau,MO,7000,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,2546,s:40~l:54~t:2546,Southeast Missouri State,Redhawks,SEMO,Southeast Missouri State Redhawks,SE Missouri St,cc0000,080808,True,1917,https://a.espncdn.com/i/teamlogos/ncaa/500/2546.png,20,2634,s:40~l:54~t:2634,Tennessee St,Lady Tigers,TNST,Tennessee St Lady Tigers,Tennessee State,383C84,f0f0f0,True,2113,https://a.espncdn.com/i/teamlogos/ncaa/500/2634.png,20,,2021,20,Ohio Valley Conference,OVC,True,,401258292
