"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","home.conferenceId","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","away.conferenceId","status.type.altDetail","season","groups.id","groups.name","groups.shortName","groups.isConference","tournamentId","game_id","PBP"
400949109,"s:40~l:54~e:400949109~c:400949109","2017-04-01T19:00Z",4417,"True","True","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - CHAMPIONSHIP""}]","2017-04-01T19:00Z",NA,"",2005,"Calihan Hall","Detroit","MI",8295,"True",0,"0:00",7,3,"STATUS_FINAL","post","True","Final","Final/3OT","Final/3OT",130,"s:40~l:54~t:130","Michigan","Wolverines","MICH","Michigan Wolverines","Michigan","00274c","00274c","True",1986,"https://a.espncdn.com/i/teamlogos/ncaa/500/130.png",7,59,"s:40~l:54~t:59","Georgia Tech","Yellow Jackets","GT","Georgia Tech Yellow Jackets","Georgia Tech","00223e","002c56","True",2206,"https://a.espncdn.com/i/teamlogos/ncaa/500/59.png",2,"3OT",2017,NA,"","","",37,400949109,TRUE
400948848,"s:40~l:54~e:400948848~c:400948848","2017-03-29T23:00Z",1106,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - SEMIFINAL""}]","2017-03-29T23:00Z",NA,"",2206,"McCamish Pavilion","Atlanta","GA",8600,"True",0,"0:00",4,3,"STATUS_FINAL","post","True","Final","Final","Final",59,"s:40~l:54~t:59","Georgia Tech","Yellow Jackets","GT","Georgia Tech Yellow Jackets","Georgia Tech","00223e","002c56","True",2206,"https://a.espncdn.com/i/teamlogos/ncaa/500/59.png",2,265,"s:40~l:54~t:265","Washington State","Cougars","WSU","Washington State Cougars","Washington St","94022a","6a747c","True",2052,"https://a.espncdn.com/i/teamlogos/ncaa/500/265.png",21,"",2017,NA,"","","",37,400948848,TRUE
400948846,"s:40~l:54~e:400948846~c:400948846","2017-03-29T23:00Z",1467,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - SEMIFINAL""}]","2017-03-29T23:00Z",NA,"",1986,"Crisler Center","Ann Arbor","MI",12707,"True",0,"0:00",4,3,"STATUS_FINAL","post","True","Final","Final","Final",130,"s:40~l:54~t:130","Michigan","Wolverines","MICH","Michigan Wolverines","Michigan","00274c","00274c","True",1986,"https://a.espncdn.com/i/teamlogos/ncaa/500/130.png",7,222,"s:40~l:54~t:222","Villanova","Wildcats","VILL","Villanova Wildcats","Villanova","123d7C","f0f0f0","True",1969,"https://a.espncdn.com/i/teamlogos/ncaa/500/222.png",4,"",2017,NA,"","","",37,400948846,TRUE
400948651,"s:40~l:54~e:400948651~c:400948651","2017-03-26T19:00Z",5146,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - QUARTERFINAL""}]","2017-03-26T19:00Z",NA,"",363,"Carver-Hawkeye Arena","Iowa City","IA",15000,"True",0,"0:00",4,3,"STATUS_FINAL","post","True","Final","Final","Final",2294,"s:40~l:54~t:2294","Iowa","Hawkeyes","IOWA","Iowa Hawkeyes","Iowa","000000","ffe100","True",NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png",7,265,"s:40~l:54~t:265","Washington State","Cougars","WSU","Washington State Cougars","Washington St","94022a","6a747c","True",2052,"https://a.espncdn.com/i/teamlogos/ncaa/500/265.png",21,"",2017,NA,"","","",37,400948651,TRUE
400948649,"s:40~l:54~e:400948649~c:400948649","2017-03-26T18:00Z",821,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - QUARTERFINAL""}]","2017-03-26T18:00Z",NA,"",2206,"McCamish Pavilion","Atlanta","GA",8600,"True",0,"0:00",4,3,"STATUS_FINAL","post","True","Final","Final","Final",59,"s:40~l:54~t:59","Georgia Tech","Yellow Jackets","GT","Georgia Tech Yellow Jackets","Georgia Tech","00223e","002c56","True",2206,"https://a.espncdn.com/i/teamlogos/ncaa/500/59.png",2,333,"s:40~l:54~t:333","Alabama","Crimson Tide","ALA","Alabama Crimson Tide","Alabama","690014","f1f2f3","True",1925,"https://a.espncdn.com/i/teamlogos/ncaa/500/333.png",23,"",2017,NA,"","","",37,400948649,TRUE
400948647,"s:40~l:54~e:400948647~c:400948647","2017-03-26T18:00Z",4770,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - QUARTERFINAL""}]","2017-03-26T18:00Z",NA,"",2092,"Simon Skjodt Assembly Hall","Bloomington","IN",17222,"True",0,"0:00",4,3,"STATUS_FINAL","post","True","Final","Final","Final",84,"s:40~l:54~t:84","Indiana","Hoosiers","IU","Indiana Hoosiers","Indiana","7D110C","eeedeb","True",2092,"https://a.espncdn.com/i/teamlogos/ncaa/500/84.png",7,222,"s:40~l:54~t:222","Villanova","Wildcats","VILL","Villanova Wildcats","Villanova","123d7C","f0f0f0","True",1969,"https://a.espncdn.com/i/teamlogos/ncaa/500/222.png",4,"",2017,NA,"","","",37,400948647,TRUE
400948646,"s:40~l:54~e:400948646~c:400948646","2017-03-25T18:00Z",1017,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - QUARTERFINAL""}]","2017-03-25T18:00Z",NA,"",1986,"Crisler Center","Ann Arbor","MI",12707,"True",0,"0:00",4,3,"STATUS_FINAL","post","True","Final","Final","Final",130,"s:40~l:54~t:130","Michigan","Wolverines","MICH","Michigan Wolverines","Michigan","00274c","00274c","True",1986,"https://a.espncdn.com/i/teamlogos/ncaa/500/130.png",7,259,"s:40~l:54~t:259","Virginia Tech","Hokies","VT","Virginia Tech Hokies","Virginia Tech","74232D","c2c1ba","True",2119,"https://a.espncdn.com/i/teamlogos/ncaa/500/259.png",2,"",2017,NA,"","","",37,400948646,TRUE
400947320,"s:40~l:54~e:400947320~c:400947320","2017-03-24T02:00Z",1456,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 3RD ROUND""}]","2017-03-24T02:00Z",NA,"",2052,"Friel Court at Beasley Coliseum","Pullman","WA",12058,"True",0,"0:00",4,3,"STATUS_FINAL","post","True","Final","Final","Final",265,"s:40~l:54~t:265","Washington State","Cougars","WSU","Washington State Cougars","Washington St","94022a","6a747c","True",2052,"https://a.espncdn.com/i/teamlogos/ncaa/500/265.png",21,302,"s:40~l:54~t:302","UC Davis","Aggies","UCD","UC Davis Aggies","UC Davis","183563","bc9305","True",2212,"https://a.espncdn.com/i/teamlogos/ncaa/500/302.png",9,"",2017,NA,"","","",37,400947320,TRUE
400947323,"s:40~l:54~e:400947323~c:400947323","2017-03-24T00:00Z",1054,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 3RD ROUND""}]","2017-03-24T00:00Z",NA,"",1925,"Coleman Coliseum","Tuscaloosa","AL",15383,"True",0,"0:00",4,3,"STATUS_FINAL","post","True","Final","Final","Final",333,"s:40~l:54~t:333","Alabama","Crimson Tide","ALA","Alabama Crimson Tide","Alabama","690014","f1f2f3","True",1925,"https://a.espncdn.com/i/teamlogos/ncaa/500/333.png",23,2655,"s:40~l:54~t:2655","Tulane","Green Wave","TULN","Tulane Green Wave","Tulane","005837","3baf29","True",2048,"https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png",62,"",2017,NA,"","","",37,400947323,TRUE
400947318,"s:40~l:54~e:400947318~c:400947318","2017-03-24T00:00Z",3735,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 3RD ROUND""}]","2017-03-24T00:00Z",NA,"",363,"Carver-Hawkeye Arena","Iowa City","IA",15000,"True",0,"0:00",4,3,"STATUS_FINAL","post","True","Final","Final","Final",2294,"s:40~l:54~t:2294","Iowa","Hawkeyes","IOWA","Iowa Hawkeyes","Iowa","000000","ffe100","True",NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png",7,38,"s:40~l:54~t:38","Colorado","Buffaloes","COLO","Colorado Buffaloes","Colorado","d1c57e","ffd200","True",2207,"https://a.espncdn.com/i/teamlogos/ncaa/500/38.png",21,"",2017,NA,"","","",37,400947318,TRUE
