"id","date","attendance","timeValid","neutralSite","boxscoreAvailable","ticketsAvailable","notes","type.id","type.text","type.abbreviation","type.slug","type.type","venue.fullName","venue.address.city","venue.address.state","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.location","home.abbreviation","home.displayName","home.shortDisplayName","home.logos","away.id","away.location","away.abbreviation","away.displayName","away.shortDisplayName","away.logos","status.type.altDetail","season","game_id","PBP","team_box","player_box"
401320611,"2021-06-05T17:00Z",2100,"True","False","True","False","[]",1,"Standard","STD","standard","standard","Entertainment & Sports Arena","Washington","DC",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",16,"Washington","WSH","Washington Mystics","Mystics","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/wsh.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]",17,"Las Vegas","LV","Las Vegas Aces","Aces","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/lv.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/lv.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]","",2021,401320611,TRUE,TRUE,TRUE
401320610,"2021-06-05T02:00Z",1467,"True","False","True","False","[{'type': 'event', 'headline': ""WNBA Commissioner's Cup""}]",1,"Standard","STD","standard","standard","Angel of the Winds Arena","Everett","WA",0,"0",5,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",14,"Seattle","SEA","Seattle Storm","Storm","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/sea.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/sea.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'scoreboard']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/scoreboard/sea.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'scoreboard', 'dark']}]",3,"Dallas","DAL","Dallas Wings","Wings","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/dal.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/dal.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]","OT",2021,401320610,TRUE,TRUE,TRUE
401320609,"2021-06-05T00:00Z",2024,"True","False","True","False","[]",1,"Standard","STD","standard","standard","Target Center","Minneapolis","MN",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",8,"Minnesota","MIN","Minnesota Lynx","Lynx","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/min.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/min.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]",20,"Atlanta","ATL","Atlanta Dream","Dream","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/atl.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/atl.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]","",2021,401320609,TRUE,TRUE,TRUE
401320608,"2021-06-04T02:30Z",301,"True","False","True","False","[]",1,"Standard","STD","standard","standard","Los Angeles Convention Center","Los Angeles","CA",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",6,"Los Angeles","LA","Los Angeles Sparks","Sparks","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/la.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/la.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]",5,"Indiana","IND","Indiana Fever","Fever","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/ind.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/ind.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]","",2021,401320608,TRUE,TRUE,TRUE
401320607,"2021-06-04T02:00Z",3819,"True","False","True","False","[]",1,"Standard","STD","standard","standard","Phoenix Suns Arena","Phoenix","AZ",0,"0",5,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",11,"Phoenix","PHX","Phoenix Mercury","Mercury","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/phx.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/phx.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]",19,"Chicago","CHI","Chicago Sky","Sky","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/chi.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/chi.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]","OT",2021,401320607,TRUE,TRUE,TRUE
401320606,"2021-06-03T23:00Z",1389,"True","False","True","False","[]",1,"Standard","STD","standard","standard","Barclays Center","Brooklyn","NY",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",9,"New York","NY","New York Liberty","Liberty","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/ny.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/ny.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]",17,"Las Vegas","LV","Las Vegas Aces","Aces","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/lv.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/lv.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]","",2021,401320606,TRUE,TRUE,TRUE
401320605,"2021-06-02T02:30Z",1215,"True","False","True","False","[]",1,"Standard","STD","standard","standard","Angel of the Winds Arena","Everett","WA",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",14,"Seattle","SEA","Seattle Storm","Storm","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/sea.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/sea.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'scoreboard']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/scoreboard/sea.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'scoreboard', 'dark']}]",5,"Indiana","IND","Indiana Fever","Fever","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/ind.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/ind.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]","",2021,401320605,TRUE,TRUE,TRUE
401320603,"2021-06-02T00:30Z",1217,"True","False","True","False","[]",1,"Standard","STD","standard","standard","Wintrust Arena","Chicago","IL",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",19,"Chicago","CHI","Chicago Sky","Sky","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/chi.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/chi.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]",11,"Phoenix","PHX","Phoenix Mercury","Mercury","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/phx.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/phx.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]","",2021,401320603,TRUE,TRUE,TRUE
401320604,"2021-06-02T00:00Z",1372,"True","False","True","False","[{'type': 'event', 'headline': ""WNBA Commissioner's Cup""}]",1,"Standard","STD","standard","standard","College Park Center","Arlington","TX",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",3,"Dallas","DAL","Dallas Wings","Wings","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/dal.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/dal.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]",6,"Los Angeles","LA","Los Angeles Sparks","Sparks","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/la.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/la.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]","",2021,401320604,TRUE,TRUE,TRUE
401320602,"2021-06-01T23:00Z",0,"True","False","True","False","[]",1,"Standard","STD","standard","standard","Mohegan Sun Arena","Uncasville","CT",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",18,"Connecticut","CONN","Connecticut Sun","Sun","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/conn.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/conn.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]",17,"Las Vegas","LV","Las Vegas Aces","Aces","[{'href': 'https://a.espncdn.com/i/teamlogos/wnba/500/lv.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'default']}, {'href': 'https://a.espncdn.com/i/teamlogos/wnba/500-dark/lv.png', 'width': 500, 'height': 500, 'alt': '', 'rel': ['full', 'dark']}]","",2021,401320602,TRUE,TRUE,TRUE
