"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.isActive","home.logo","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.isActive","away.logo","season","away.color","away.alternateColor","away.venue.id","home.color","home.alternateColor","home.venue.id","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","series.type","series.title","series.summary","series.completed","series.totalCompetitions","series.competitors","status.type.altDetail","game_id","PBP"
260909003,"s:40~l:59~e:260909003~c:260909003","2006-09-09T19:30Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'FINALS'}]","2006-09-09T19:30Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",3,"s:40~l:59~t:3","Detroit","Shock","TUL","Detroit Shock","Shock","False","https://a.espncdn.com/i/teamlogos/wnba/500/tul.png",13,"s:40~l:59~t:13","Sacramento","Monarchs","SAC","Sacramento Monarchs","Monarchs","True","https://a.espncdn.com/i/teamlogos/wnba/500/sac.png",2006,"","",NA,"11213e","c5d646",1911,3419,"The Palace of Auburn Hills","Detroit","MI",22076,"False","playoff","Playoff Series","TUL Wins series 3-2","True",3,"[{'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/3?lang=en&region=us'}, {'id': '13', 'uid': 's:40~l:59~t:13', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/13?lang=en&region=us'}]","",260909003,TRUE
260906013,"s:40~l:59~e:260906013~c:260906013","2006-09-07T01:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'FINALS'}]","2006-09-07T01:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",13,"s:40~l:59~t:13","Sacramento","Monarchs","SAC","Sacramento Monarchs","Monarchs","True","https://a.espncdn.com/i/teamlogos/wnba/500/sac.png",3,"s:40~l:59~t:3","Detroit","Shock","TUL","Detroit Shock","Shock","False","https://a.espncdn.com/i/teamlogos/wnba/500/tul.png",2006,"11213e","c5d646",1911,"","",NA,NA,"","","",NA,"","playoff","Playoff Series","Series tied 2-2","True",3,"[{'id': '13', 'uid': 's:40~l:59~t:13', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/13?lang=en&region=us'}, {'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/3?lang=en&region=us'}]","",260906013,TRUE
260903013,"s:40~l:59~e:260903013~c:260903013","2006-09-03T20:30Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'FINALS'}]","2006-09-03T20:30Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",13,"s:40~l:59~t:13","Sacramento","Monarchs","SAC","Sacramento Monarchs","Monarchs","True","https://a.espncdn.com/i/teamlogos/wnba/500/sac.png",3,"s:40~l:59~t:3","Detroit","Shock","TUL","Detroit Shock","Shock","False","https://a.espncdn.com/i/teamlogos/wnba/500/tul.png",2006,"11213e","c5d646",1911,"","",NA,NA,"","","",NA,"","playoff","Playoff Series","SAC Wins series 2-1","True",3,"[{'id': '13', 'uid': 's:40~l:59~t:13', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/13?lang=en&region=us'}, {'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/3?lang=en&region=us'}]","",260903013,TRUE
260901003,"s:40~l:59~e:260901003~c:260901003","2006-09-01T23:30Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'FINALS'}]","2006-09-01T23:30Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",3,"s:40~l:59~t:3","Detroit","Shock","TUL","Detroit Shock","Shock","False","https://a.espncdn.com/i/teamlogos/wnba/500/tul.png",13,"s:40~l:59~t:13","Sacramento","Monarchs","SAC","Sacramento Monarchs","Monarchs","True","https://a.espncdn.com/i/teamlogos/wnba/500/sac.png",2006,"","",NA,"11213e","c5d646",1911,3419,"The Palace of Auburn Hills","Detroit","MI",22076,"False","playoff","Playoff Series","Series tied 1-1","False",3,"[{'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/3?lang=en&region=us'}, {'id': '13', 'uid': 's:40~l:59~t:13', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/13?lang=en&region=us'}]","",260901003,TRUE
260830003,"s:40~l:59~e:260830003~c:260830003","2006-08-30T23:30Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'FINALS'}]","2006-08-30T23:30Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",3,"s:40~l:59~t:3","Detroit","Shock","TUL","Detroit Shock","Shock","False","https://a.espncdn.com/i/teamlogos/wnba/500/tul.png",13,"s:40~l:59~t:13","Sacramento","Monarchs","SAC","Sacramento Monarchs","Monarchs","True","https://a.espncdn.com/i/teamlogos/wnba/500/sac.png",2006,"","",NA,"11213e","c5d646",1911,3419,"The Palace of Auburn Hills","Detroit","MI",22076,"False","playoff","Playoff Series","SAC leads series 1-0","False",3,"[{'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/3?lang=en&region=us'}, {'id': '13', 'uid': 's:40~l:59~t:13', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/13?lang=en&region=us'}]","",260830003,TRUE
260827018,"s:40~l:59~e:260827018~c:260827018","2006-08-28T00:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'PLAYOFFS'}]","2006-08-28T00:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",18,"s:40~l:59~t:18","Connecticut","Sun","CT","Connecticut Sun","Sun","True","https://a.espncdn.com/i/teamlogos/wnba/500/ct.png",3,"s:40~l:59~t:3","Detroit","Shock","TUL","Detroit Shock","Shock","False","https://a.espncdn.com/i/teamlogos/wnba/500/tul.png",2006,"11213e","c5d646",1911,"de6b36","002d62",2160,2160,"Mohegan Sun Arena","Uncasville","CT",10000,"True","playoff","Playoff Series","TUL Wins series 2-1","True",3,"[{'id': '18', 'uid': 's:40~l:59~t:18', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/18?lang=en&region=us'}, {'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/3?lang=en&region=us'}]","",260827018,TRUE
260826006,"s:40~l:59~e:260826006~c:260826006","2006-08-27T01:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'PLAYOFFS AT ANAHEIM CA'}]","2006-08-27T01:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",6,"s:40~l:59~t:6","Los Angeles","Sparks","LOS","Los Angeles Sparks","Sparks","True","https://a.espncdn.com/i/teamlogos/wnba/500/los.png",13,"s:40~l:59~t:13","Sacramento","Monarchs","SAC","Sacramento Monarchs","Monarchs","True","https://a.espncdn.com/i/teamlogos/wnba/500/sac.png",2006,"","",NA,"532481","49ac9c",1841,NA,"","","",NA,"","playoff","Playoff Series","SAC Wins series 2-0","True",3,"[{'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/6?lang=en&region=us'}, {'id': '13', 'uid': 's:40~l:59~t:13', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/13?lang=en&region=us'}]","",260826006,TRUE
260826018,"s:40~l:59~e:260826018~c:260826018","2006-08-26T20:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'PLAYOFFS'}]","2006-08-26T20:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",18,"s:40~l:59~t:18","Connecticut","Sun","CT","Connecticut Sun","Sun","True","https://a.espncdn.com/i/teamlogos/wnba/500/ct.png",3,"s:40~l:59~t:3","Detroit","Shock","TUL","Detroit Shock","Shock","False","https://a.espncdn.com/i/teamlogos/wnba/500/tul.png",2006,"11213e","c5d646",1911,"de6b36","002d62",2160,2160,"Mohegan Sun Arena","Uncasville","CT",10000,"True","playoff","Playoff Series","Series tied 1-1","False",3,"[{'id': '18', 'uid': 's:40~l:59~t:18', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/18?lang=en&region=us'}, {'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/3?lang=en&region=us'}]","",260826018,TRUE
260824013,"s:40~l:59~e:260824013~c:260824013","2006-08-25T02:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'PLAYOFFS'}]","2006-08-25T02:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",13,"s:40~l:59~t:13","Sacramento","Monarchs","SAC","Sacramento Monarchs","Monarchs","True","https://a.espncdn.com/i/teamlogos/wnba/500/sac.png",6,"s:40~l:59~t:6","Los Angeles","Sparks","LOS","Los Angeles Sparks","Sparks","True","https://a.espncdn.com/i/teamlogos/wnba/500/los.png",2006,"532481","49ac9c",1841,"","",NA,NA,"","","",NA,"","playoff","Playoff Series","SAC leads series 1-0","False",3,"[{'id': '13', 'uid': 's:40~l:59~t:13', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/13?lang=en&region=us'}, {'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/6?lang=en&region=us'}]","",260824013,TRUE
260824003,"s:40~l:59~e:260824003~c:260824003","2006-08-24T23:30Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'PLAYOFFS'}]","2006-08-24T23:30Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",3,"s:40~l:59~t:3","Detroit","Shock","TUL","Detroit Shock","Shock","False","https://a.espncdn.com/i/teamlogos/wnba/500/tul.png",18,"s:40~l:59~t:18","Connecticut","Sun","CT","Connecticut Sun","Sun","True","https://a.espncdn.com/i/teamlogos/wnba/500/ct.png",2006,"de6b36","002d62",2160,"11213e","c5d646",1911,3419,"The Palace of Auburn Hills","Detroit","MI",22076,"False","playoff","Playoff Series","TUL leads series 1-0","False",3,"[{'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/3?lang=en&region=us'}, {'id': '18', 'uid': 's:40~l:59~t:18', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/18?lang=en&region=us'}]","",260824003,TRUE
260822006,"s:40~l:59~e:260822006~c:260822006","2006-08-23T02:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'PLAYOFFS'}]","2006-08-23T02:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",6,"s:40~l:59~t:6","Los Angeles","Sparks","LOS","Los Angeles Sparks","Sparks","True","https://a.espncdn.com/i/teamlogos/wnba/500/los.png",14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","True","https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",2006,"05452a","f7c43c",2184,"532481","49ac9c",1841,1841,"STAPLES Center","Los Angeles","CA",19068,"True","playoff","Playoff Series","LOS Wins series 2-1","True",3,"[{'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/6?lang=en&region=us'}, {'id': '14', 'uid': 's:40~l:59~t:14', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/14?lang=en&region=us'}]","",260822006,TRUE
260820006,"s:40~l:59~e:260820006~c:260820006","2006-08-20T21:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': 'PLAYOFFS'}]","2006-08-20T21:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",6,"s:40~l:59~t:6","Los Angeles","Sparks","LOS","Los Angeles Sparks","Sparks","True","https://a.espncdn.com/i/teamlogos/wnba/500/los.png",14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","True","https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",2006,"05452a","f7c43c",2184,"532481","49ac9c",1841,1841,"STAPLES Center","Los Angeles","CA",19068,"True","playoff","Playoff Series","Series tied 1-1","False",3,"[{'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/6?lang=en&region=us'}, {'id': '14', 'uid': 's:40~l:59~t:14', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/14?lang=en&region=us'}]","",260820006,TRUE
