id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.isActive,season,away.color,away.alternateColor,away.venue.id,away.logo,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors,status.type.altDetail,game_id
401129933,s:40~l:59~e:401129933~c:401129933,2019-05-09T23:00Z,4115,True,False,False,False,[],2019-05-09T23:00Z,1,STD,3559,Barclays Center,Brooklyn,NY,17732,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,True,1830,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,21,s:40~l:59~t:21,China,China,CHN,China,China,False,2019,,,,,,,,,,,,401129933
401129934,s:40~l:59~e:401129934~c:401129934,2019-05-11T00:00Z,3201,True,False,False,False,[],2019-05-11T00:00Z,1,STD,2029,Target Center,Minneapolis,MN,19006,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,True,2019,e03a3e,09295a,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,,,,,,,,401129934
401129935,s:40~l:59~e:401129935~c:401129935,2019-05-12T02:00Z,3751,True,False,False,False,[],2019-05-12T02:00Z,1,STD,1949,Phoenix Suns Arena,Phoenix,AZ,18055,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,True,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,True,2019,532481,49ac9c,1841,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,,,,,,,,401129935
401129936,s:40~l:59~e:401129936~c:401129936,2019-05-13T21:00Z,3300,True,True,False,False,[],2019-05-13T21:00Z,1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,5190cd,f1f2f3,True,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,True,2019,11213e,c5d646,3416,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,,,,,,,,401129936
401129937,s:40~l:59~e:401129937~c:401129937,2019-05-13T23:00Z,3806,True,False,False,False,[],2019-05-13T23:00Z,1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,True,2019,0d79b9,89c9bf,1830,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,,,,,,,,401129937
401129938,s:40~l:59~e:401129938~c:401129938,2019-05-14T16:00Z,4033,True,False,False,False,[],2019-05-14T16:00Z,1,STD,5427,Wintrust Arena,Chicago,IL,10387,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,True,977,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,True,2019,e2382f,08265b,2183,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,,,,,,,,401129938
401129939,s:40~l:59~e:401129939~c:401129939,2019-05-14T21:00Z,3458,True,True,False,False,[],2019-05-14T21:00Z,1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,5190cd,f1f2f3,True,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,True,2019,0d79b9,89c9bf,1830,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,,,,,,,,401129939
401129940,s:40~l:59~e:401129940~c:401129940,2019-05-14T23:00Z,3965,True,False,False,False,[],2019-05-14T23:00Z,1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,True,2019,11213e,c5d646,3416,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,,,,,,,,401129940
401129941,s:40~l:59~e:401129941~c:401129941,2019-05-16T02:00Z,3076,True,True,False,False,[],2019-05-16T02:00Z,1,STD,5242,Angel of the Winds Arena,Everett,WA,10000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,True,2019,3a267d,e56020,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,,,,,,,,401129941
401129942,s:40~l:59~e:401129942~c:401129942,2019-05-16T16:00Z,3794,True,False,False,False,[],2019-05-16T16:00Z,1,STD,2183,Bankers Life Fieldhouse,Indianapolis,IN,17923,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,2183,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,True,2019,4f91cd,f1f2f3,977,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,,,,,,,,401129942
