,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.isActive,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.isActive,away.logo,season,away.color,away.alternateColor,away.venue.id,home.color,home.alternateColor,home.venue.id,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors,status.type.altDetail
0,260511003,s:40~l:59~e:260511003~c:260511003,2006-05-11T23:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'AT ALBANY NY'}]",2006-05-11T23:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,False,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,True,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,2006,3a267d,e56020,1949,11213e,c5d646,1911,,,,,,,,,,,,,
0,260512017,s:40~l:59~e:260512017~c:260512017,2006-05-13T00:00Z,0,True,False,False,False,[],2006-05-13T00:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,False,https://a.espncdn.com/i/teamlogos/wnba/500/sas.png,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,True,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,2006,,,,000000,c7cfd4,780,,,,,,,,,,,,,
0,260512019,s:40~l:59~e:260512019~c:260512019,2006-05-13T00:30Z,0,True,False,False,False,[],2006-05-13T00:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,True,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,True,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,2006,05452a,f7c43c,2184,4f91cd,f1f2f3,1847,,,,,,,,,,,,,
0,260513009,s:40~l:59~e:260513009~c:260513009,2006-05-13T20:00Z,0,True,False,False,False,[],2006-05-13T20:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,True,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,True,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,2006,,,,0d79b9,89c9bf,1826,1830,Madison Square Garden,New York,NY,19763.0,False,,,,,,,
0,260513016,s:40~l:59~e:260513016~c:260513016,2006-05-13T23:30Z,0,True,False,False,False,[],2006-05-13T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,True,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,True,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,2006,,,,e03a3e,09295a,1823,,,,,,,,,,,,,
0,260513008,s:40~l:59~e:260513008~c:260513008,2006-05-14T00:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'AT SPORTS PAVILION'}]",2006-05-14T00:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,True,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,True,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,2006,05452a,f7c43c,2184,005084,47a757,2029,,,,,,,,,,,,,
0,260513011,s:40~l:59~e:260513011~c:260513011,2006-05-14T02:00Z,0,True,False,False,False,[],2006-05-14T02:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,True,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,True,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,2006,de6b36,002d62,2160,3a267d,e56020,1949,,,,,,,,,,,,,
0,260516004,s:40~l:59~e:260516004~c:260516004,2006-05-17T00:30Z,0,True,False,False,False,[],2006-05-17T00:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,True,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,False,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,2006,11213e,c5d646,1911,,,,,,,,,,,,,,,,
0,260520013,s:40~l:59~e:260520013~c:260520013,2006-05-20T20:00Z,0,True,False,False,False,[],2006-05-20T20:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,True,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,True,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,2006,3a267d,e56020,1949,,,,,,,,,,,,,,,,
0,260520001,s:40~l:59~e:260520001~c:260520001,2006-05-20T22:00Z,0,True,False,False,False,[],2006-05-20T22:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,True,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,True,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,2006,4f91cd,f1f2f3,1847,,,,,,,,,,,,,,,,
0,260520005,s:40~l:59~e:260520005~c:260520005,2006-05-20T23:00Z,0,True,False,False,False,[],2006-05-20T23:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,True,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,False,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,2006,11213e,c5d646,1911,e2382f,08265b,,,,,,,,playoff,Playoff Series,TUL Wins series 2-0,True,3.0,"[{'id': '5', 'uid': 's:40~l:59~t:5', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/5?lang=en&region=us'}, {'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/3?lang=en&region=us'}]",
0,260520018,s:40~l:59~e:260520018~c:260520018,2006-05-20T23:00Z,0,True,False,False,False,[],2006-05-20T23:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,True,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,True,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,2006,0d79b9,89c9bf,1826,de6b36,002d62,2160,2160,Mohegan Sun Arena,Uncasville,CT,10000.0,True,,,,,,,
0,260521004,s:40~l:59~e:260521004~c:260521004,2006-05-21T22:00Z,0,True,False,False,False,[],2006-05-21T22:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,True,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,False,https://a.espncdn.com/i/teamlogos/wnba/500/sas.png,2006,000000,c7cfd4,780,,,,,,,,,,,,,,,,
0,260521014,s:40~l:59~e:260521014~c:260521014,2006-05-22T01:00Z,0,True,False,False,False,[],2006-05-22T01:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,True,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,True,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,2006,532481,49ac9c,1841,05452a,f7c43c,2184,2184,KeyArena,Seattle,WA,17459.0,True,playoff,Playoff Series,LOS Wins series 2-1,True,3.0,"[{'id': '14', 'uid': 's:40~l:59~t:14', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/14?lang=en&region=us'}, {'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2006/teams/6?lang=en&region=us'}]",
0,260523001,s:40~l:59~e:260523001~c:260523001,2006-05-23T23:00Z,0,True,False,False,False,[],2006-05-23T23:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,True,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,True,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,2006,532481,49ac9c,1841,,,,,,,,,,,,,,,,
0,260523016,s:40~l:59~e:260523016~c:260523016,2006-05-23T23:00Z,0,True,False,False,False,[],2006-05-23T23:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,True,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,True,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,2006,0d79b9,89c9bf,1826,e03a3e,09295a,1823,,,,,,,,,,,,,
0,260523017,s:40~l:59~e:260523017~c:260523017,2006-05-24T00:00Z,0,True,False,False,False,[],2006-05-24T00:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,False,https://a.espncdn.com/i/teamlogos/wnba/500/sas.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,True,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,2006,e2382f,08265b,,000000,c7cfd4,780,,,,,,,,,,,,,
0,260523019,s:40~l:59~e:260523019~c:260523019,2006-05-24T00:00Z,0,True,False,False,False,[],2006-05-24T00:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,True,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,True,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,2006,,,,4f91cd,f1f2f3,1847,,,,,,,,,,,,,
0,260523008,s:40~l:59~e:260523008~c:260523008,2006-05-24T01:00Z,0,True,False,False,False,[],2006-05-24T01:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,True,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,True,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,2006,de6b36,002d62,2160,005084,47a757,2029,2029,Target Center,Minneapolis,MN,19006.0,False,,,,,,,
0,260523014,s:40~l:59~e:260523014~c:260523014,2006-05-24T03:00Z,0,True,False,False,False,[],2006-05-24T03:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,True,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,True,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,2006,,,,05452a,f7c43c,2184,2184,KeyArena,Seattle,WA,17459.0,True,,,,,,,
0,260524003,s:40~l:59~e:260524003~c:260524003,2006-05-24T23:30Z,0,True,False,False,False,[],2006-05-24T23:30Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,False,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,True,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,2006,005084,47a757,2029,11213e,c5d646,1911,3419,The Palace of Auburn Hills,Detroit,MI,22076.0,False,,,,,,,
0,260525001,s:40~l:59~e:260525001~c:260525001,2006-05-25T23:00Z,0,True,False,False,False,[],2006-05-25T23:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,True,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,True,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,2006,e03a3e,09295a,1823,,,,,,,,,,,,,,,,
