,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,season,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors
0,250501018,s:40~l:59~e:250501018~c:250501018,2005-05-01T21:00Z,0,True,False,False,False,[],2005-05-01T21:00Z,18,EXH,2160,Mohegan Sun Arena,Uncasville,CT,10000.0,True,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,2005,,,,,,
0,250503005,s:40~l:59~e:250503005~c:250503005,2005-05-04T00:30Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'AT SOUTH BEND IN'}]",2005-05-04T00:30Z,18,EXH,,,,,,,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,2005,,,,,,
0,250506017,s:40~l:59~e:250506017~c:250506017,2005-05-07T00:00Z,0,True,False,False,False,[],2005-05-07T00:00Z,18,EXH,780,AT&T Center,San Antonio,TX,18500.0,False,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,https://a.espncdn.com/i/teamlogos/wnba/500/sas.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,2005,,,,,,
0,250506004,s:40~l:59~e:250506004~c:250506004,2005-05-07T00:30Z,0,True,False,False,False,[],2005-05-07T00:30Z,18,EXH,,,,,,,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,True,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,2005,,,,,,
0,250507009,s:40~l:59~e:250507009~c:250507009,2005-05-07T20:00Z,0,True,False,False,False,[],2005-05-07T20:00Z,18,EXH,1830,Madison Square Garden,New York,NY,19763.0,False,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,True,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,2005,,,,,,
0,250507008,s:40~l:59~e:250507008~c:250507008,2005-05-08T00:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'AT KANSAS CITY MO'}]",2005-05-08T00:00Z,18,EXH,,,,,,,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,2005,,,,,,
0,250508018,s:40~l:59~e:250508018~c:250508018,2005-05-08T20:00Z,0,True,False,False,False,[],2005-05-08T20:00Z,18,EXH,2160,Mohegan Sun Arena,Uncasville,CT,10000.0,True,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,2005,,,,,,
0,250510016,s:40~l:59~e:250510016~c:250510016,2005-05-10T23:00Z,0,True,False,False,False,[],2005-05-10T23:00Z,18,EXH,1823,Capital One Arena,Washington,DC,20362.0,True,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,True,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,2005,,,,,,
0,250510005,s:40~l:59~e:250510005~c:250510005,2005-05-11T00:00Z,0,True,False,False,False,[],2005-05-11T00:00Z,18,EXH,,,,,,,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,True,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,2005,,,,,,
0,250512001,s:40~l:59~e:250512001~c:250512001,2005-05-12T22:00Z,0,True,False,False,False,[],2005-05-12T22:00Z,18,EXH,,,,,,,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,2005,,,,,,
0,250512004,s:40~l:59~e:250512004~c:250512004,2005-05-13T00:30Z,0,True,False,False,False,[],2005-05-13T00:30Z,18,EXH,,,,,,,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,2005,,,,,,
0,250512013,s:40~l:59~e:250512013~c:250512013,2005-05-13T02:00Z,0,True,False,False,False,[],2005-05-13T02:00Z,18,EXH,,,,,,,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,True,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,2005,,,,,,
0,250514008,s:40~l:59~e:250514008~c:250514008,2005-05-15T00:00Z,0,True,False,False,False,[],2005-05-15T00:00Z,18,EXH,2029,Target Center,Minneapolis,MN,19006.0,False,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,2005,,,,,,
0,250514014,s:40~l:59~e:250514014~c:250514014,2005-05-15T02:00Z,0,True,False,False,False,[],2005-05-15T02:00Z,18,EXH,2184,KeyArena,Seattle,WA,17459.0,True,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,2005,,,,,,
0,250515003,s:40~l:59~e:250515003~c:250515003,2005-05-15T19:30Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'AT ALBANY NY'}]",2005-05-15T19:30Z,18,EXH,,,,,,,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,True,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,2005,,,,,,
0,250515011,s:40~l:59~e:250515011~c:250515011,2005-05-16T01:00Z,0,True,False,False,False,[],2005-05-16T01:00Z,18,EXH,1949,Phoenix Suns Arena,Phoenix,AZ,18055.0,True,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,True,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,2005,,,,,,
0,250516001,s:40~l:59~e:250516001~c:250516001,2005-05-16T23:00Z,0,True,False,False,False,[],2005-05-16T23:00Z,18,EXH,,,,,,,0.0,0.0,3,3,STATUS_FINAL,post,True,Final,Final,Final,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,2005,,,,,,
0,250521003,s:40~l:59~e:250521003~c:250521003,2005-05-21T17:00Z,0,True,False,False,False,[],2005-05-21T17:00Z,1,STD,3419,The Palace of Auburn Hills,Detroit,MI,22076.0,False,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,2005,playoff,Playoff Series,CT Wins series 2-0,True,3.0,"[{'id': '3', 'uid': 's:40~l:59~t:3', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2005/teams/3?lang=en&region=us'}, {'id': '18', 'uid': 's:40~l:59~t:18', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2005/teams/18?lang=en&region=us'}]"
0,250521014,s:40~l:59~e:250521014~c:250521014,2005-05-21T20:00Z,0,True,False,False,False,[],2005-05-21T20:00Z,1,STD,2184,KeyArena,Seattle,WA,17459.0,True,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,2005,,,,,,
0,250521001,s:40~l:59~e:250521001~c:250521001,2005-05-21T22:00Z,0,True,False,False,False,[],2005-05-21T22:00Z,1,STD,,,,,,,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,True,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,2005,,,,,,
0,250521017,s:40~l:59~e:250521017~c:250521017,2005-05-22T00:00Z,0,True,False,False,False,[],2005-05-22T00:00Z,1,STD,780,AT&T Center,San Antonio,TX,18500.0,False,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,https://a.espncdn.com/i/teamlogos/wnba/500/sas.png,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,2005,,,,,,
0,250521011,s:40~l:59~e:250521011~c:250521011,2005-05-22T02:00Z,0,True,False,False,False,[],2005-05-22T02:00Z,1,STD,1949,Phoenix Suns Arena,Phoenix,AZ,18055.0,True,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,True,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,2005,,,,,,
0,250522009,s:40~l:59~e:250522009~c:250522009,2005-05-22T20:00Z,0,True,False,False,False,[],2005-05-22T20:00Z,1,STD,1830,Madison Square Garden,New York,NY,19763.0,False,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,True,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,2005,,,,,,
0,250522016,s:40~l:59~e:250522016~c:250522016,2005-05-22T22:00Z,0,True,False,False,False,[],2005-05-22T22:00Z,1,STD,1823,Capital One Arena,Washington,DC,20362.0,True,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,True,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,2005,,,,,,
0,250522005,s:40~l:59~e:250522005~c:250522005,2005-05-22T23:00Z,0,True,False,False,False,[],2005-05-22T23:00Z,1,STD,,,,,,,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,2005,,,,,,
