"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","season","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","series.type","series.title","series.summary","series.completed","series.totalCompetitions","series.competitors","status.type.altDetail","game_id","PBP"
300519014,"s:40~l:59~e:300519014~c:300519014","2010-05-20T02:00Z",0,"True","False","False","False","[]","2010-05-20T02:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","True",2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",8,"s:40~l:59~t:8","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","True",2029,"https://a.espncdn.com/i/teamlogos/wnba/500/min.png",2010,2184,"KeyArena","Seattle","WA",17459,"True","","","","",NA,"","",300519014,TRUE
300516014,"s:40~l:59~e:300516014~c:300516014","2010-05-17T01:00Z",0,"True","False","False","False","[]","2010-05-17T01:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","True",2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",6,"s:40~l:59~t:6","Los Angeles","Sparks","LOS","Los Angeles Sparks","Sparks","532481","49ac9c","True",1841,"https://a.espncdn.com/i/teamlogos/wnba/500/los.png",2010,2184,"KeyArena","Seattle","WA",17459,"True","playoff","Playoff Series","SEA Wins series 2-0","True",3,"[{'id': '14', 'uid': 's:40~l:59~t:14', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2010/teams/14?lang=en&region=us'}, {'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2010/teams/6?lang=en&region=us'}]","",300516014,TRUE
300516008,"s:40~l:59~e:300516008~c:300516008","2010-05-16T23:00Z",0,"True","False","False","False","[]","2010-05-16T23:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",8,"s:40~l:59~t:8","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","True",2029,"https://a.espncdn.com/i/teamlogos/wnba/500/min.png",16,"s:40~l:59~t:16","Washington","Mystics","WAS","Washington Mystics","Mystics","e03a3e","09295a","True",1823,"https://a.espncdn.com/i/teamlogos/wnba/500/was.png",2010,2029,"Target Center","Minneapolis","MN",19006,"False","","","","",NA,"","",300516008,TRUE
300516020,"s:40~l:59~e:300516020~c:300516020","2010-05-16T23:00Z",0,"True","False","False","False","[]","2010-05-16T23:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",20,"s:40~l:59~t:20","Atlanta","Dream","ATL","Atlanta Dream","Dream","5190cd","f1f2f3","True",1827,"https://a.espncdn.com/i/teamlogos/wnba/500/atl.png",5,"s:40~l:59~t:5","Indiana","Fever","IND","Indiana Fever","Fever","e2382f","08265b","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/ind.png",2010,NA,"","","",NA,"","","","","",NA,"","",300516020,TRUE
300516009,"s:40~l:59~e:300516009~c:300516009","2010-05-16T20:00Z",0,"True","False","False","False","[]","2010-05-16T20:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",9,"s:40~l:59~t:9","New York","Liberty","NYL","New York Liberty","Liberty","0d79b9","89c9bf","True",1826,"https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png",19,"s:40~l:59~t:19","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3","True",1847,"https://a.espncdn.com/i/teamlogos/wnba/500/chi.png",2010,1830,"Madison Square Garden","New York","NY",19763,"False","","","","",NA,"","",300516009,TRUE
300515003,"s:40~l:59~e:300515003~c:300515003","2010-05-16T00:00Z",0,"True","False","False","False","[]","2010-05-16T00:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",3,"s:40~l:59~t:3","Tulsa","Shock","TUL","Tulsa Shock","Shock","11213e","c5d646","False",1911,"https://a.espncdn.com/i/teamlogos/wnba/500/tul.png",8,"s:40~l:59~t:8","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","True",2029,"https://a.espncdn.com/i/teamlogos/wnba/500/min.png",2010,NA,"","","",NA,"","","","","",NA,"","",300515003,TRUE
300515017,"s:40~l:59~e:300515017~c:300515017","2010-05-16T00:00Z",0,"True","False","False","False","[]","2010-05-16T00:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",17,"s:40~l:59~t:17","San Antonio","Silver Stars","SAS","San Antonio Silver Stars","Silver Stars","000000","c7cfd4","False",780,"https://a.espncdn.com/i/teamlogos/wnba/500/sas.png",20,"s:40~l:59~t:20","Atlanta","Dream","ATL","Atlanta Dream","Dream","5190cd","f1f2f3","True",1827,"https://a.espncdn.com/i/teamlogos/wnba/500/atl.png",2010,NA,"","","",NA,"","","","","",NA,"","",300515017,TRUE
300515005,"s:40~l:59~e:300515005~c:300515005","2010-05-15T23:00Z",0,"True","False","False","False","[]","2010-05-15T23:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",5,"s:40~l:59~t:5","Indiana","Fever","IND","Indiana Fever","Fever","e2382f","08265b","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/ind.png",16,"s:40~l:59~t:16","Washington","Mystics","WAS","Washington Mystics","Mystics","e03a3e","09295a","True",1823,"https://a.espncdn.com/i/teamlogos/wnba/500/was.png",2010,NA,"","","",NA,"","","","","",NA,"","",300515005,TRUE
300515018,"s:40~l:59~e:300515018~c:300515018","2010-05-15T19:30Z",0,"True","False","False","False","[]","2010-05-15T19:30Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",18,"s:40~l:59~t:18","Connecticut","Sun","CT","Connecticut Sun","Sun","de6b36","002d62","True",2160,"https://a.espncdn.com/i/teamlogos/wnba/500/ct.png",19,"s:40~l:59~t:19","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3","True",1847,"https://a.espncdn.com/i/teamlogos/wnba/500/chi.png",2010,2160,"Mohegan Sun Arena","Uncasville","CT",10000,"True","","","","",NA,"","",300515018,TRUE
300515011,"s:40~l:59~e:300515011~c:300515011","2010-05-15T18:00Z",0,"True","False","False","False","[]","2010-05-15T18:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",11,"s:40~l:59~t:11","Phoenix","Mercury","PHO","Phoenix Mercury","Mercury","3a267d","e56020","True",1949,"https://a.espncdn.com/i/teamlogos/wnba/500/pho.png",6,"s:40~l:59~t:6","Los Angeles","Sparks","LOS","Los Angeles Sparks","Sparks","532481","49ac9c","True",1841,"https://a.espncdn.com/i/teamlogos/wnba/500/los.png",2010,NA,"","","",NA,"","","","","",NA,"","",300515011,TRUE
