id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_is_active,home_logo,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_is_active,away_logo,game_id,season,season_type,away_color,away_alternate_color,away_venue_id,home_color,home_alternate_color,home_venue_id,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_type_alt_detail,PBP
260716003,s:40~l:59~e:260716003~c:260716003,2006-07-16T21:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-16T21:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,FALSE,"",260716003,2006,2,000000,c7cfd4,780,11213e,c5d646,1911,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",TRUE
260715001,s:40~l:59~e:260715001~c:260715001,2006-07-15T22:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-15T22:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,260715001,2006,2,e2382f,08265b,,"","",,,"","","",,,"",TRUE
260715013,s:40~l:59~e:260715013~c:260715013,2006-07-15T20:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-15T20:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,260715013,2006,2,de6b36,002d62,2160,"","",,,"","","",,,"",TRUE
260714011,s:40~l:59~e:260714011~c:260714011,2006-07-15T02:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-15T02:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,260714011,2006,2,532481,49ac9c,1841,3a267d,e56020,1949,,"","","",,,"",TRUE
260714014,s:40~l:59~e:260714014~c:260714014,2006-07-15T02:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-15T02:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,260714014,2006,2,0d79b9,89c9bf,1826,05452a,f7c43c,2184,2184,KeyArena,Seattle,WA,17459,TRUE,"",TRUE
260714019,s:40~l:59~e:260714019~c:260714019,2006-07-15T00:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-15T00:30Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,260714019,2006,2,"","",,4f91cd,f1f2f3,1847,,"","","",,,"",TRUE
260714001,s:40~l:59~e:260714001~c:260714001,2006-07-14T23:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-14T23:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,FALSE,"",260714001,2006,2,000000,c7cfd4,780,"","",,,"","","",,,"",TRUE
260712098,s:40~l:59~e:260712098~c:260712098,2006-07-12T23:30Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'ALL STAR GAME'}]",2006-07-12T23:30Z,4,ALLSTAR,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,98,s:40~l:59~t:98,Eastern Conf,East,EAST,EAST,EAST,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/east.png,99,s:40~l:59~t:99,Western Conf,West,WEST,WEST,WEST,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/west.png,260712098,2006,2,"","",763,"","",,1830,Madison Square Garden,New York,NY,19763,FALSE,"",TRUE
260709013,s:40~l:59~e:260709013~c:260709013,2006-07-10T01:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-10T01:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,260709013,2006,2,"","",,"","",,,"","","",,,"",TRUE
260709014,s:40~l:59~e:260709014~c:260709014,2006-07-10T01:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-10T01:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,260709014,2006,2,e2382f,08265b,,05452a,f7c43c,2184,2184,KeyArena,Seattle,WA,17459,TRUE,"",TRUE
260709004,s:40~l:59~e:260709004~c:260709004,2006-07-09T22:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-09T22:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",260709004,2006,2,11213e,c5d646,1911,"","",,,"","","",,,"",TRUE
260709008,s:40~l:59~e:260709008~c:260709008,2006-07-09T22:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-09T22:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,FALSE,"",260709008,2006,2,000000,c7cfd4,780,005084,47a757,2029,2029,Target Center,Minneapolis,MN,19006,FALSE,"",TRUE
260709009,s:40~l:59~e:260709009~c:260709009,2006-07-09T20:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-09T20:00Z,1,STD,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,260709009,2006,2,3a267d,e56020,1949,0d79b9,89c9bf,1826,1830,Madison Square Garden,New York,NY,19763,FALSE,OT,TRUE
260709016,s:40~l:59~e:260709016~c:260709016,2006-07-09T20:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-09T20:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,260709016,2006,2,4f91cd,f1f2f3,1847,e03a3e,09295a,1823,,"","","",,,"",TRUE
260708006,s:40~l:59~e:260708006~c:260708006,2006-07-09T02:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-09T02:30Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,260708006,2006,2,"","",,532481,49ac9c,1841,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,"",TRUE
260708018,s:40~l:59~e:260708018~c:260708018,2006-07-08T19:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-08T19:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,260708018,2006,2,3a267d,e56020,1949,de6b36,002d62,2160,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,"",TRUE
260707006,s:40~l:59~e:260707006~c:260707006,2006-07-08T02:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-08T02:30Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,260707006,2006,2,e2382f,08265b,,532481,49ac9c,1841,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,"",TRUE
