id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_is_active,away_venue_id,game_id,season,season_type,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,away_color,away_alternate_color,away_logo,status_type_alt_detail,PBP
220808009,s:40~l:59~e:220808009~c:220808009,2002-08-08T23:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-08T23:30Z,1,STD,2,2.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,TRUE,1823,220808009,2002,2,1830,Madison Square Garden,New York,NY,19763,FALSE,e03a3e,09295a,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,"",TRUE
220808010,s:40~l:59~e:220808010~c:220808010,2002-08-08T23:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-08T23:30Z,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,10,s:40~l:59~t:10,Orlando,Miracle,ORL,Orlando Miracle,Miracle,"","",TRUE,,"",13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,,220808010,2002,2,,"","","",,,"","",https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,"",TRUE
220807011,s:40~l:59~e:220807011~c:220807011,2002-08-08T02:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-08T02:00Z,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,2,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,TRUE,3417,220807011,2002,2,1949,Footprint Center,Phoenix,AZ,18055,TRUE,"","","","",TRUE
220807005,s:40~l:59~e:220807005~c:220807005,2002-08-08T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-08T00:00Z,1,STD,13,13.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,10,s:40~l:59~t:10,Orlando,Miracle,ORL,Orlando Miracle,Miracle,TRUE,,220807005,2002,2,,"","","",,,"","","","",TRUE
220806012,s:40~l:59~e:220806012~c:220806012,2002-08-07T02:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-07T02:00Z,1,STD,4,4.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,12,s:40~l:59~t:12,Portland,Fire,POR,Portland Fire,Fire,"","",TRUE,3423,"",15,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,TRUE,,220806012,2002,2,3423,Rose Garden,Portland,OR,19980,FALSE,"","","","",TRUE
220806013,s:40~l:59~e:220806013~c:220806013,2002-08-07T02:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-07T02:00Z,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,1949,220806013,2002,2,,"","","",,,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,"",TRUE
220806004,s:40~l:59~e:220806004~c:220806004,2002-08-07T00:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-07T00:30Z,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,2,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,TRUE,3417,220806004,2002,2,,"","","",,,"","","","",TRUE
220806003,s:40~l:59~e:220806003~c:220806003,2002-08-06T23:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-06T23:30Z,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,TRUE,,220806003,2002,2,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"","",https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,"",TRUE
220806009,s:40~l:59~e:220806009~c:220806009,2002-08-06T23:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-06T23:30Z,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,2029,220806009,2002,2,1830,Madison Square Garden,New York,NY,19763,FALSE,005084,47a757,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,"",TRUE
220806016,s:40~l:59~e:220806016~c:220806016,2002-08-06T23:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-06T23:00Z,1,STD,4,4.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,,220806016,2002,2,1823,Capital One Arena,Washington,DC,20362,TRUE,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,"",TRUE
220804006,s:40~l:59~e:220804006~c:220804006,2002-08-05T01:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-05T01:30Z,1,STD,3,3.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,15,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,TRUE,,220804006,2002,2,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,"","","","",TRUE
220804003,s:40~l:59~e:220804003~c:220804003,2002-08-04T23:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-04T23:30Z,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,1949,220804003,2002,2,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,"",TRUE
220804010,s:40~l:59~e:220804010~c:220804010,2002-08-04T23:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-08-04T23:30Z,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,10,s:40~l:59~t:10,Orlando,Miracle,ORL,Orlando Miracle,Miracle,"","",TRUE,,"",12,s:40~l:59~t:12,Portland,Fire,POR,Portland Fire,Fire,TRUE,3423,220804010,2002,2,,"","","",,,"","","","",TRUE
