id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,game_id,season,season_type,status_type_alt_detail,PBP
401079695,s:40~l:59~e:401079695~c:401079695,2018-09-13T00:00Z,9164,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WNBA FINALS PRESENTED BY YOUTUBE TV - GAME 3'}]",2018-09-13T00:00Z,1,STD,2167,EagleBank Arena,Fairfax,VA,10000,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,401079695,2018,3,"",TRUE
401079694,s:40~l:59~e:401079694~c:401079694,2018-09-09T19:30Z,14212,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WNBA FINALS PRESENTED BY YOUTUBE TV - GAME 2'}]",2018-09-09T19:30Z,1,STD,2184,KeyArena,Seattle,WA,17459,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,401079694,2018,3,"",TRUE
401079693,s:40~l:59~e:401079693~c:401079693,2018-09-08T01:00Z,11486,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WNBA FINALS PRESENTED BY YOUTUBE TV - GAME 1'}]",2018-09-08T01:00Z,1,STD,2184,KeyArena,Seattle,WA,17459,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,401079693,2018,3,"",TRUE
401074464,s:40~l:59~e:401074464~c:401074464,2018-09-05T02:00Z,8992,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WNBA SEMIFINALS - GAME 5'}]",2018-09-05T02:00Z,1,STD,2184,KeyArena,Seattle,WA,17459,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,401074464,2018,3,"",TRUE
401074465,s:40~l:59~e:401074465~c:401074465,2018-09-05T00:00Z,4435,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WNBA SEMIFINALS - GAME 5'}]",2018-09-05T00:00Z,1,STD,2206,McCamish Pavilion,Atlanta,GA,8900,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,401074465,2018,3,"",TRUE
401074463,s:40~l:59~e:401074463~c:401074463,2018-09-02T21:00Z,8137,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WNBA SEMIFINALS - GAME 4'}]",2018-09-02T21:00Z,1,STD,1949,Footprint Center,Phoenix,AZ,18055,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,401074463,2018,3,"",TRUE
401074462,s:40~l:59~e:401074462~c:401074462,2018-09-02T19:00Z,3722,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WNBA SEMIFINALS - GAME 4'}]",2018-09-02T19:00Z,1,STD,2125,Charles E. Smith Center,Washington,DC,5000,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,401074462,2018,3,"",TRUE
401074461,s:40~l:59~e:401074461~c:401074461,2018-09-01T02:00Z,15185,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WNBA SEMIFINALS - GAME 3'}]",2018-09-01T02:00Z,1,STD,1949,Footprint Center,Phoenix,AZ,18055,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,401074461,2018,3,"",TRUE
401074473,s:40~l:59~e:401074473~c:401074473,2018-09-01T00:00Z,3867,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WNBA SEMIFINALS - GAME 3'}]",2018-09-01T00:00Z,1,STD,2125,Charles E. Smith Center,Washington,DC,5000,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,401074473,2018,3,"",TRUE
401074458,s:40~l:59~e:401074458~c:401074458,2018-08-29T02:00Z,9686,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WNBA SEMIFINALS - GAME 2'}]",2018-08-29T02:00Z,1,STD,2184,KeyArena,Seattle,WA,17459,TRUE,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,401074458,2018,3,OT,TRUE
