id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,game_id,season,season_type,home_logo,status_type_alt_detail
400445756,s:40~l:59~e:400445756~c:400445756,2013-06-02T00:00Z,6081,True,False,False,False,[],2013-06-02T00:00Z,1,STD,780,AT&T Center,San Antonio,TX,18500,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SA,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,400445756,2013,2,,
400445760,s:40~l:59~e:400445760~c:400445760,2013-06-02T20:00Z,8938,True,False,False,False,[],2013-06-02T20:00Z,1,STD,1823,Capital One Arena,Washington,DC,20362,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,True,1823,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,True,1827,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,400445760,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,
400445764,s:40~l:59~e:400445764~c:400445764,2013-06-02T22:00Z,6811,True,False,False,False,[],2013-06-02T22:00Z,1,STD,977,Allstate Arena,Glenview,IL,0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,True,1847,3,s:40~l:59~t:3,Tulsa,Shock,TUL,Tulsa Shock,Shock,11213e,c5d646,False,1911,,400445764,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,
400445766,s:40~l:59~e:400445766~c:400445766,2013-06-03T01:00Z,9686,True,False,False,False,[],2013-06-03T01:00Z,1,STD,2184,KeyArena,Seattle,WA,17459,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,True,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,400445766,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,
400445777,s:40~l:59~e:400445777~c:400445777,2013-06-05T15:00Z,7617,True,False,False,False,[],2013-06-05T15:00Z,1,STD,1826,Prudential Center,Newark,NJ,18500,False,0.0,0.0,5,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,4,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,True,1826,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,400445777,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,OT
400445780,s:40~l:59~e:400445780~c:400445780,2013-06-07T00:00Z,8511,True,False,False,False,[],2013-06-07T00:00Z,1,STD,2029,Target Center,Minneapolis,MN,19006,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,True,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,400445780,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,
400445783,s:40~l:59~e:400445783~c:400445783,2013-06-07T23:00Z,6150,True,False,False,False,[],2013-06-07T23:00Z,1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,True,2160,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,True,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,400445783,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,
400445787,s:40~l:59~e:400445787~c:400445787,2013-06-07T23:30Z,6173,True,False,False,False,[],2013-06-07T23:30Z,1,STD,1827,State Farm Arena,Atlanta,GA,16888,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,True,1827,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,True,1826,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,400445787,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,
400445788,s:40~l:59~e:400445788~c:400445788,2013-06-08T00:00Z,6244,True,False,False,False,[],2013-06-08T00:00Z,1,STD,780,AT&T Center,San Antonio,TX,18500,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SA,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,True,1847,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,400445788,2013,2,,
400445790,s:40~l:59~e:400445790~c:400445790,2013-06-08T02:00Z,6879,True,False,False,False,[],2013-06-08T02:00Z,1,STD,2184,KeyArena,Seattle,WA,17459,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,3,s:40~l:59~t:3,Tulsa,Shock,TUL,Tulsa Shock,Shock,11213e,c5d646,False,1911,,400445790,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,
400445792,s:40~l:59~e:400445792~c:400445792,2013-06-08T19:30Z,8672,True,False,False,False,[],2013-06-08T19:30Z,1,STD,2183,Gainbridge Fieldhouse,Indianapolis,IN,17923,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,True,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,400445792,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,
400445794,s:40~l:59~e:400445794~c:400445794,2013-06-08T23:00Z,7870,True,False,False,False,[],2013-06-08T23:00Z,1,STD,1823,Capital One Arena,Washington,DC,20362,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,True,1823,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,400445794,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,
400445797,s:40~l:59~e:400445797~c:400445797,2013-06-09T02:30Z,6110,True,False,False,False,[],2013-06-09T02:30Z,1,STD,1841,crypto.com Arena,Los Angeles,CA,19068,True,0.0,0.0,5,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,3,s:40~l:59~t:3,Tulsa,Shock,TUL,Tulsa Shock,Shock,11213e,c5d646,False,1911,,400445797,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,OT
400445807,s:40~l:59~e:400445807~c:400445807,2013-06-09T19:00Z,5933,True,False,False,False,[],2013-06-09T19:00Z,1,STD,1826,Prudential Center,Newark,NJ,18500,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,True,1826,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,True,1827,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,400445807,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,
400445810,s:40~l:59~e:400445810~c:400445810,2013-06-09T22:00Z,4293,True,False,False,False,[],2013-06-09T22:00Z,1,STD,977,Allstate Arena,Glenview,IL,0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,True,1847,17,s:40~l:59~t:17,San Antonio,Silver Stars,SA,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,,400445810,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,
400445815,s:40~l:59~e:400445815~c:400445815,2013-06-12T00:00Z,7913,True,False,False,False,[],2013-06-12T00:00Z,1,STD,2029,Target Center,Minneapolis,MN,19006,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029,17,s:40~l:59~t:17,San Antonio,Silver Stars,SA,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,,400445815,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,
400445818,s:40~l:59~e:400445818~c:400445818,2013-06-13T00:00Z,6283,True,False,False,False,[],2013-06-13T00:00Z,1,STD,2183,Gainbridge Fieldhouse,Indianapolis,IN,17923,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,400445818,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,
