id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,game_id,season,season_type,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_type_alt_detail,PBP
280923003,s:40~l:59~e:280923003~c:280923003,2008-09-23T23:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'EASTERN CONFERENCE SEMIFINALS -'}]",2008-09-23T23:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,280923003,2008,3,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",TRUE
280922017,s:40~l:59~e:280922017~c:280922017,2008-09-23T01:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WESTERN CONFERENCE SEMIFINALS -'}]",2008-09-23T01:00Z,1,STD,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,280922017,2008,3,,"","","",,,OT,TRUE
280922018,s:40~l:59~e:280922018~c:280922018,2008-09-22T23:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'EASTERN CONFERENCE SEMIFINALS -'}]",2008-09-22T23:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,280922018,2008,3,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,"",TRUE
280921014,s:40~l:59~e:280921014~c:280921014,2008-09-21T21:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WESTERN CONFERENCE SEMIFINALS -'}]",2008-09-21T21:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,280921014,2008,3,2184,KeyArena,Seattle,WA,17459,TRUE,"",TRUE
280921003,s:40~l:59~e:280921003~c:280921003,2008-09-21T19:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'EASTERN CONFERENCE SEMIFINALS -'}]",2008-09-21T19:00Z,1,STD,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,280921003,2008,3,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,OT,TRUE
280920017,s:40~l:59~e:280920017~c:280920017,2008-09-21T01:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WESTERN CONFERENCE SEMIFINALS - GAME 2'}]",2008-09-21T01:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,280920017,2008,3,,"","","",,,"",TRUE
280920018,s:40~l:59~e:280920018~c:280920018,2008-09-20T23:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'EASTERN CONFERENCE SEMIFINALS - GAME 2'}]",2008-09-20T23:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,280920018,2008,3,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,"",TRUE
280919006,s:40~l:59~e:280919006~c:280919006,2008-09-20T02:30Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WESTERN CONFERENCE SEMIFINALS'}]",2008-09-20T02:30Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,280919006,2008,3,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,"",TRUE
280919005,s:40~l:59~e:280919005~c:280919005,2008-09-19T23:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'EASTERN CONFERENCE SEMIFINALS'}]",2008-09-19T23:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",280919005,2008,3,,"","","",,,"",TRUE
280918013,s:40~l:59~e:280918013~c:280918013,2008-09-19T01:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'PLAYOFFS'}]",2008-09-19T01:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",280918013,2008,3,,"","","",,,"",TRUE
280918009,s:40~l:59~e:280918009~c:280918009,2008-09-18T23:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'PLAYOFFS'}]",2008-09-18T23:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,280918009,2008,3,1830,Madison Square Garden,New York,NY,19763,FALSE,"",TRUE
280915004,s:40~l:59~e:280915004~c:280915004,2008-09-16T00:00Z,5586,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'AT SAN MARCOS TX'}]",2008-09-16T00:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,280915004,2008,2,,"","","",,,"",TRUE
280914006,s:40~l:59~e:280914006~c:280914006,2008-09-14T20:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2008-09-14T20:30Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,280914006,2008,2,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,"",TRUE
280914009,s:40~l:59~e:280914009~c:280914009,2008-09-14T20:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2008-09-14T20:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",280914009,2008,2,1830,Madison Square Garden,New York,NY,19763,FALSE,"",TRUE
280914016,s:40~l:59~e:280914016~c:280914016,2008-09-14T20:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2008-09-14T20:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,280914016,2008,2,,"","","",,,"",TRUE
280914019,s:40~l:59~e:280914019~c:280914019,2008-09-14T20:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2008-09-14T20:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,280914019,2008,2,,"","","",,,"",TRUE
280914005,s:40~l:59~e:280914005~c:280914005,2008-09-14T16:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2008-09-14T16:30Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,280914005,2008,2,,"","","",,,"",TRUE
280913017,s:40~l:59~e:280913017~c:280913017,2008-09-14T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2008-09-14T00:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,280913017,2008,2,,"","","",,,"",TRUE
280913018,s:40~l:59~e:280913018~c:280913018,2008-09-13T20:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2008-09-13T20:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,280913018,2008,2,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,"",TRUE
280912014,s:40~l:59~e:280912014~c:280912014,2008-09-13T02:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2008-09-13T02:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,280912014,2008,2,2184,KeyArena,Seattle,WA,17459,TRUE,"",TRUE
280912004,s:40~l:59~e:280912004~c:280912004,2008-09-13T00:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2008-09-13T00:30Z,1,STD,0,0,0,6,STATUS_POSTPONED,post,FALSE,Postponed,Postponed,Postponed,4,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,280912004,2008,2,,"","","",,,"",FALSE
280912019,s:40~l:59~e:280912019~c:280912019,2008-09-13T00:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2008-09-13T00:30Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,280912019,2008,2,,"","","",,,"",TRUE
280912008,s:40~l:59~e:280912008~c:280912008,2008-09-13T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2008-09-13T00:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,280912008,2008,2,2029,Target Center,Minneapolis,MN,19006,FALSE,"",TRUE
280911006,s:40~l:59~e:280911006~c:280911006,2008-09-12T02:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2008-09-12T02:30Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,280911006,2008,2,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,"",TRUE
