id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_is_active,home_logo,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,game_id,season,season_type,home_color,home_alternate_color,home_venue_id,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor
230621011,s:40~l:59~e:230621011~c:230621011,2003-06-22T02:00Z,0,True,False,False,False,[],2003-06-22T02:00Z,1,STD,1175.0,19:35,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,True,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,230621011,2003,2,3a267d,e56020,1949,,,,,,
230621013,s:40~l:59~e:230621013~c:230621013,2003-06-22T02:00Z,0,True,False,False,False,[],2003-06-22T02:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,True,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,230621013,2003,2,,,,,,,,,
230622009,s:40~l:59~e:230622009~c:230622009,2003-06-22T20:00Z,0,True,False,False,False,[],2003-06-22T20:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,True,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,230622009,2003,2,0d79b9,89c9bf,1826,,,,,,
230622018,s:40~l:59~e:230622018~c:230622018,2003-06-22T20:00Z,0,True,False,False,False,[],2003-06-22T20:00Z,1,STD,0.0,0.0,3,3,STATUS_FINAL,post,True,Final,Final,Final,2,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,True,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911,,230622018,2003,2,de6b36,002d62,2160,,,,,,
230622014,s:40~l:59~e:230622014~c:230622014,2003-06-23T01:00Z,0,True,False,False,False,[],2003-06-23T01:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,True,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,,230622014,2003,2,05452a,f7c43c,2184,,,,,,
230624016,s:40~l:59~e:230624016~c:230624016,2003-06-24T23:00Z,0,True,False,False,False,[],2003-06-24T23:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,True,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,230624016,2003,2,e03a3e,09295a,1823,,,,,,
230624003,s:40~l:59~e:230624003~c:230624003,2003-06-24T23:30Z,0,True,False,False,False,[],2003-06-24T23:30Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,False,,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,230624003,2003,2,11213e,c5d646,1911,,,,,,
230624004,s:40~l:59~e:230624004~c:230624004,2003-06-25T00:30Z,0,True,False,False,False,[],2003-06-25T00:30Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,True,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,230624004,2003,2,,,,,,,,,
230624013,s:40~l:59~e:230624013~c:230624013,2003-06-25T02:00Z,0,True,False,False,False,[],2003-06-25T02:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,True,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,,230624013,2003,2,,,,,,,,,
230625009,s:40~l:59~e:230625009~c:230625009,2003-06-25T04:00Z,0,True,False,False,False,[],2003-06-25T04:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,True,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,True,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,230625009,2003,2,0d79b9,89c9bf,1826,,,,,,
230625001,s:40~l:59~e:230625001~c:230625001,2003-06-25T23:00Z,0,True,False,False,False,[],2003-06-25T23:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,True,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,2,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,,,True,3417,,230625001,2003,2,,,,,,,,,
230626017,s:40~l:59~e:230626017~c:230626017,2003-06-26T17:00Z,0,True,False,False,False,[],2003-06-26T17:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,False,,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,230626017,2003,2,000000,c7cfd4,780,,,,,,
230626018,s:40~l:59~e:230626018~c:230626018,2003-06-26T23:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'AT HARTFORD CT'}]",2003-06-26T23:00Z,1,STD,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,2,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,True,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,230626018,2003,2,de6b36,002d62,2160,,,,,,
230627002,s:40~l:59~e:230627002~c:230627002,2003-06-27T23:00Z,0,True,False,False,False,[],2003-06-27T23:00Z,1,STD,19.0,19.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,True,,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,230627002,2003,2,,,3417,,,,,,
