id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id,PBP,team_box,player_box
400601094,s:40~l:54~e:400601094~c:400601094,2015-01-17T21:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T21:00Z,0,N/A,2014,Clune Arena,Colorado Springs,CO,5843,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2005,s:40~l:54~t:2005,Air Force,Falcons,AFA,Air Force Falcons,Air Force,004a7b,ffffff,TRUE,2014,https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,44,328,s:40~l:54~t:328,Utah State,Aggies,USU,Utah State Aggies,Utah State,003263,949ca1,TRUE,2128,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png,44,400601094,2015,2,"",44,Mountain West Conference,Mountain West,TRUE,,FALSE,FALSE,FALSE
400599095,s:40~l:54~e:400599095~c:400599095,2015-01-17T21:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T21:00Z,0,N/A,2017,Convocation Center (VA),Hampton,VA,7200,TRUE,1200,20:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2261,s:40~l:54~t:2261,Hampton,Lady Pirates,HAMP,Hampton Lady Pirates,Hampton,0067AC,"",TRUE,2017,https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png,16,2448,s:40~l:54~t:2448,North Carolina A&T,Aggies,NCAT,North Carolina A&T Aggies,NC A&T,0505aa,004684,TRUE,2066,https://a.espncdn.com/i/teamlogos/ncaa/500/2448.png,16,400599095,2015,2,"",16,Mid-Eastern Athletic Conference,MEAC,TRUE,,FALSE,FALSE,FALSE
400599090,s:40~l:54~e:400599090~c:400599090,2015-01-17T21:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T21:00Z,0,N/A,1989,Joseph G. Echols Hall,Norfolk,VA,4500,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2450,s:40~l:54~t:2450,Norfolk State,Spartans,NORF,Norfolk State Spartans,Norfolk State,046546,"",TRUE,1989,https://a.espncdn.com/i/teamlogos/ncaa/500/2450.png,16,2428,s:40~l:54~t:2428,North Carolina Central,Eagles,NCCU,North Carolina Central Eagles,NC Central,880023,c2c3c0,TRUE,2081,https://a.espncdn.com/i/teamlogos/ncaa/500/2428.png,16,400599090,2015,2,"",16,Mid-Eastern Athletic Conference,MEAC,TRUE,,FALSE,FALSE,FALSE
400598727,s:40~l:54~e:400598727~c:400598727,2015-01-17T21:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T21:00Z,0,N/A,2178,Athletics Center O'rena,Rochester,MI,4000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2473,s:40~l:54~t:2473,Oakland,Golden Grizzlies,OAK,Oakland Golden Grizzlies,Oakland,04091c,bc955c,TRUE,2178,https://a.espncdn.com/i/teamlogos/ncaa/500/2473.png,45,82,s:40~l:54~t:82,UIC,Flames,UIC,UIC Flames,UIC,001e62,d50032,TRUE,1895,https://a.espncdn.com/i/teamlogos/ncaa/500/82.png,45,400598727,2015,2,"",45,Horizon League,Horizon,TRUE,,FALSE,FALSE,FALSE
400597199,s:40~l:54~e:400597199~c:400597199,2015-01-17T21:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T21:00Z,0,N/A,2188,Cotterell Court,Hamilton,NY,1750,TRUE,1200,20:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2142,s:40~l:54~t:2142,Colgate,Raiders,COLG,Colgate Raiders,Colgate,8B011D,231f20,TRUE,2188,https://a.espncdn.com/i/teamlogos/ncaa/500/2142.png,22,2426,s:40~l:54~t:2426,Navy,Midshipmen,NAVY,Navy Midshipmen,Navy,131630,b6a77c,TRUE,2176,https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,22,400597199,2015,2,"",22,Patriot League,Patriot,TRUE,,FALSE,FALSE,FALSE
400597035,s:40~l:54~e:400597035~c:400597035,2015-01-17T21:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T21:00Z,0,N/A,2108,Marriott Center,Provo,UT,18987,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,252,s:40~l:54~t:252,BYU,Cougars,BYU,BYU Cougars,BYU,001E4C,ffffff,TRUE,2108,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,29,2608,s:40~l:54~t:2608,Saint Mary's,Gaels,SMC,Saint Mary's Gaels,St Mary's,003768,d02f35,TRUE,488,https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png,29,400597035,2015,2,"",29,West Coast Conference,WCC,TRUE,,FALSE,FALSE,FALSE
400596892,s:40~l:54~e:400596892~c:400596892,2015-01-17T21:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T21:00Z,0,N/A,2168,Bank of Colorado Arena,Greeley,CO,2992,TRUE,1200,20:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2458,s:40~l:54~t:2458,Northern Colorado,Bears,UNCO,Northern Colorado Bears,N Colorado,13558D,ffc533,TRUE,2168,https://a.espncdn.com/i/teamlogos/ncaa/500/2458.png,5,155,s:40~l:54~t:155,North Dakota,Fighting Hawks,UND,North Dakota Fighting Hawks,North Dakota,00A26B,c2c3c0,TRUE,1950,https://a.espncdn.com/i/teamlogos/ncaa/500/155.png,5,400596892,2015,2,"",5,Big Sky Conference,Big Sky,TRUE,,FALSE,FALSE,FALSE
400596891,s:40~l:54~e:400596891~c:400596891,2015-01-17T21:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T21:00Z,0,N/A,1995,Dahlberg Arena,Missoula,MT,7500,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,149,s:40~l:54~t:149,Montana,Lady Griz,MONT,Montana Lady Griz,Montana,751D4A,666666,TRUE,1995,https://a.espncdn.com/i/teamlogos/ncaa/500/149.png,5,147,s:40~l:54~t:147,Montana State,Bobcats,MTST,Montana State Bobcats,Montana State,003875,bf965c,TRUE,2065,https://a.espncdn.com/i/teamlogos/ncaa/500/147.png,5,400596891,2015,2,"",5,Big Sky Conference,Big Sky,TRUE,,FALSE,FALSE,FALSE
400596890,s:40~l:54~e:400596890~c:400596890,2015-01-17T21:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T21:00Z,0,N/A,1904,Reed Gym,Pocatello,ID,3040,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,304,s:40~l:54~t:304,Idaho State,Bengals,IDST,Idaho State Bengals,Idaho State,ef8c00,e9a126,TRUE,1904,https://a.espncdn.com/i/teamlogos/ncaa/500/304.png,5,2464,s:40~l:54~t:2464,Northern Arizona,Lumberjacks,NAU,Northern Arizona Lumberjacks,N Arizona,003976,1b3069,TRUE,2023,https://a.espncdn.com/i/teamlogos/ncaa/500/2464.png,5,400596890,2015,2,"",5,Big Sky Conference,Big Sky,TRUE,,FALSE,FALSE,FALSE
400596887,s:40~l:54~e:400596887~c:400596887,2015-01-17T21:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T21:00Z,0,N/A,2198,Dee Events Center,Ogden,UT,11500,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2692,s:40~l:54~t:2692,Weber State,Wildcats,WEB,Weber State Wildcats,Weber State,18005a,ebebeb,TRUE,2198,https://a.espncdn.com/i/teamlogos/ncaa/500/2692.png,5,253,s:40~l:54~t:253,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Southern Utah,d10000,c2c3c0,TRUE,1960,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,5,400596887,2015,2,"",5,Big Sky Conference,Big Sky,TRUE,,FALSE,FALSE,FALSE
