id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.isActive,away.logo,away.alternateColor,away.venue.id,away.conferenceId,season,groups.id,groups.name,groups.shortName,groups.isConference,game_id,PBP,player_box
401374464,s:40~l:54~e:401374464~c:401374464,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,2042,Reilly Center,Saint Bonaventure,NY,5480,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,179,s:40~l:54~t:179,St. Bonaventure,Bonnies,SBU,St. Bonaventure Bonnies,St. Bonaventure,70261D,"",TRUE,2042,https://a.espncdn.com/i/teamlogos/ncaa/500/179.png,3,45,s:40~l:54~t:45,George Washington,Colonials,GW,George Washington Colonials,G Washington,002843,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/45.png,e8d2a1,2125,3,2022,3,Atlantic 10 Conference,A 10,TRUE,401374464,FALSE,FALSE
401374463,s:40~l:54~e:401374463~c:401374463,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,2051,Stuart C. Siegel Center,Richmond,VA,7500,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,2670,s:40~l:54~t:2670,VCU,Rams,VCU,VCU Rams,VCU,929292,edb71d,TRUE,2051,https://a.espncdn.com/i/teamlogos/ncaa/500/2670.png,3,2230,s:40~l:54~t:2230,Fordham,Rams,FOR,Fordham Rams,Fordham,830032,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2230.png,909090,2007,3,2022,3,Atlantic 10 Conference,A 10,TRUE,401374463,FALSE,FALSE
401374461,s:40~l:54~e:401374461~c:401374461,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,194,John M. Belk Arena,Davidson,NC,4300,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,2166,s:40~l:54~t:2166,Davidson,Wildcats,DAV,Davidson Wildcats,Davidson,000000,e51837,TRUE,194,https://a.espncdn.com/i/teamlogos/ncaa/500/2166.png,3,2184,s:40~l:54~t:2184,Duquesne,Dukes,DUQ,Duquesne Dukes,Duquesne,002D62,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png,b90b2e,1958,3,2022,3,Atlantic 10 Conference,A 10,TRUE,401374461,FALSE,FALSE
401372891,s:40~l:54~e:401372891~c:401372891,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,2179,Ryan Center,Kingston,RI,8000,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,227,s:40~l:54~t:227,Rhode Island,Rams,URI,Rhode Island Rams,Rhode Island,091f3f,5ab3e8,TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/227.png,3,2244,s:40~l:54~t:2244,George Mason,Patriots,GMU,George Mason Patriots,George Mason,016600,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2244.png,ecb010,2167,3,2022,3,Atlantic 10 Conference,A 10,TRUE,401372891,FALSE,FALSE
401368154,s:40~l:54~e:401368154~c:401368154,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,1948,McLeod Center,Cedar Falls,IA,6650,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,2460,s:40~l:54~t:2460,Northern Iowa,Panthers,UNI,Northern Iowa Panthers,Northern Iowa,473282,ffffff,TRUE,1948,https://a.espncdn.com/i/teamlogos/ncaa/500/2460.png,18,79,s:40~l:54~t:79,Southern Illinois,Salukis,SIU,Southern Illinois Salukis,S Illinois,85283D,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/79.png,c2c3c0,2190,18,2022,18,Missouri Valley Conference,MVC,TRUE,401368154,FALSE,FALSE
401368153,s:40~l:54~e:401368153~c:401368153,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,2075,The Knapp Center,Des Moines,IA,7152,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,2181,s:40~l:54~t:2181,Drake,Bulldogs,DRKE,Drake Bulldogs,Drake,004477,c0c0c0,TRUE,2075,https://a.espncdn.com/i/teamlogos/ncaa/500/2181.png,18,2623,s:40~l:54~t:2623,Missouri State,Lady Bears,MOST,Missouri State Lady Bears,Missouri State,5F0000,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,e8e8e8,1966,18,2022,18,Missouri Valley Conference,MVC,TRUE,401368153,FALSE,FALSE
401368056,s:40~l:54~e:401368056~c:401368056,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,2195,Frank Erwin Center,Austin,TX,16540,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,251,s:40~l:54~t:251,Texas,Longhorns,TEX,Texas Longhorns,Texas,EE7524,f0f0f0,TRUE,2195,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8,277,s:40~l:54~t:277,West Virginia,Mountaineers,WVU,West Virginia Mountaineers,West Virginia,FFC600,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,eaaa00,2199,8,2022,8,Big 12 Conference,Big 12,TRUE,401368056,FALSE,FALSE
401368055,s:40~l:54~e:401368055~c:401368055,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,1991,Lloyd Noble Center,Norman,OK,11562,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,201,s:40~l:54~t:201,Oklahoma,Sooners,OU,Oklahoma Sooners,Oklahoma,7b0000,cccccc,TRUE,1991,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,8,2628,s:40~l:54~t:2628,TCU,Horned Frogs,TCU,TCU Horned Frogs,TCU,3C377D,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,f1f2f3,2194,8,2022,8,Big 12 Conference,Big 12,TRUE,401368055,FALSE,FALSE
401368054,s:40~l:54~e:401368054~c:401368054,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,2047,United Supermarkets Arena,Lubbock,TX,15098,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,2641,s:40~l:54~t:2641,Texas Tech,Lady Raiders,TTU,Texas Tech Lady Raiders,Texas Tech,C80025,231f20,TRUE,2047,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,8,2306,s:40~l:54~t:2306,Kansas State,Wildcats,KSU,Kansas State Wildcats,Kansas State,633194,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,e7d2ad,2131,8,2022,8,Big 12 Conference,Big 12,TRUE,401368054,FALSE,FALSE
401368053,s:40~l:54~e:401368053~c:401368053,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,1992,Gallagher-Iba Arena,Stillwater,OK,13611,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,197,s:40~l:54~t:197,Oklahoma State,Cowgirls,OKST,Oklahoma State Cowgirls,Oklahoma State,FF6500,ff9900,TRUE,1992,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,8,66,s:40~l:54~t:66,Iowa State,Cyclones,ISU,Iowa State Cyclones,Iowa State,660015,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,830b2c,432,8,2022,8,Big 12 Conference,Big 12,TRUE,401368053,FALSE,FALSE
401367888,s:40~l:54~e:401367888~c:401367888,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,544,Leavey Center,Santa Clara,CA,4700,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,2541,s:40~l:54~t:2541,Santa Clara,Broncos,SCU,Santa Clara Broncos,Santa Clara,690b0b,101010,TRUE,544,https://a.espncdn.com/i/teamlogos/ncaa/500/2541.png,29,2539,s:40~l:54~t:2539,San Francisco,Dons,SF,San Francisco Dons,San Francisco,22523F,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2539.png,fbcd3c,789,29,2022,29,West Coast Conference,WCC,TRUE,401367888,FALSE,FALSE
401367887,s:40~l:54~e:401367887~c:401367887,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,2136,Chiles Center,Portland,OR,4852,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,2501,s:40~l:54~t:2501,Portland,Pilots,PORT,Portland Pilots,Portland,0e034e,f0f0f0,TRUE,2136,https://a.espncdn.com/i/teamlogos/ncaa/500/2501.png,29,279,s:40~l:54~t:279,Pacific,Tigers,PAC,Pacific Tigers,Pacific,F47820,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/279.png,c2c3c0,553,29,2022,29,West Coast Conference,WCC,TRUE,401367887,FALSE,FALSE
401367886,s:40~l:54~e:401367886~c:401367886,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,488,University Credit Union Pavilion,Moraga,CA,3500,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,2608,s:40~l:54~t:2608,Saint Mary's,Gaels,SMC,Saint Mary's Gaels,Saint Mary's,003768,d02f35,TRUE,488,https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png,29,2492,s:40~l:54~t:2492,Pepperdine,Waves,PEPP,Pepperdine Waves,Pepperdine,003A72,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2492.png,dc762f,1055,29,2022,29,West Coast Conference,WCC,TRUE,401367886,FALSE,FALSE
401367885,s:40~l:54~e:401367885~c:401367885,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,1979,McCarthey Athletic Center,Spokane,WA,6000,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,2250,s:40~l:54~t:2250,Gonzaga,Bulldogs,GONZ,Gonzaga Bulldogs,Gonzaga,002967,cfd4d8,TRUE,1979,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,29,301,s:40~l:54~t:301,San Diego,Toreros,USD,San Diego Toreros,San Diego,2f99d4,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/301.png,2f99d4,501,29,2022,29,West Coast Conference,WCC,TRUE,401367885,FALSE,FALSE
401367884,s:40~l:54~e:401367884~c:401367884,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,2173,Gersten Pavilion,Los Angeles,CA,4156,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,2351,s:40~l:54~t:2351,Loyola Marymount,Lions,LMU,Loyola Marymount Lions,LMU,880029,00345b,TRUE,2173,https://a.espncdn.com/i/teamlogos/ncaa/500/2351.png,29,252,s:40~l:54~t:252,BYU,Cougars,BYU,BYU Cougars,BYU,001E4C,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,ffffff,2108,29,2022,29,West Coast Conference,WCC,TRUE,401367884,FALSE,FALSE
401367798,s:40~l:54~e:401367798~c:401367798,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,4489,Trojan Arena,Troy,AL,5200,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,2653,s:40~l:54~t:2653,Troy,Trojans,TROY,Troy Trojans,Troy,AE0210,88898c,TRUE,4489,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,27,2433,s:40~l:54~t:2433,UL Monroe,Warhawks,ULM,UL Monroe Warhawks,UL Monroe,231F20,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,b18445,2061,27,2022,27,Sun Belt Conference,Sun Belt,TRUE,401367798,FALSE,FALSE
401367795,s:40~l:54~e:401367795~c:401367795,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,2057,GSU Sports Arena,Atlanta,GA,3854,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,2247,s:40~l:54~t:2247,Georgia State,Panthers,GAST,Georgia State Panthers,Georgia State,1e539a,ebebeb,TRUE,2057,https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,27,326,s:40~l:54~t:326,Texas State,Bobcats,TXST,Texas State Bobcats,Texas State,4e1719,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/326.png,b4975a,2010,27,2022,27,Sun Belt Conference,Sun Belt,TRUE,401367795,FALSE,FALSE
401367794,s:40~l:54~e:401367794~c:401367794,2022-01-15T05:00Z,0,FALSE,FALSE,TRUE,FALSE,[],2022-01-15T05:00Z,0,N/A,2033,First National Bank Arena,Jonesboro,AR,10563,TRUE,0,0:00,0,1,STATUS_SCHEDULED,pre,FALSE,Scheduled,1/15 - TBD,TBD,2032,s:40~l:54~t:2032,Arkansas State,Red Wolves,ARST,Arkansas State Red Wolves,Arkansas State,e81018,000000,TRUE,2033,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,27,324,s:40~l:54~t:324,Coastal Carolina,Chanticleers,CCU,Coastal Carolina Chanticleers,Coast Carolina,007073,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/324.png,876447,4308,27,2022,27,Sun Belt Conference,Sun Belt,TRUE,401367794,FALSE,FALSE
