id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.isActive,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,game_id,season,season_type,home.alternateColor,home.venue.id,home.conferenceId,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,PBP,team_box,player_box
401091895,s:40~l:54~e:401091895~c:401091895,2018-11-22T23:30Z,300,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'CANCUN CHALLENGE - RIVIERA TOURNAMENT'}]",2018-11-22T23:30Z,0,N/A,4575,Hard Rock Hotel Riviera Maya,Cancun,Mexico,0,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,127,s:40~l:54~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan State,18453B,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,152,s:40~l:54~t:152,NC State,Wolfpack,NCST,NC State Wolfpack,NC State,EF1216,231f20,TRUE,2139,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,2,401091895,2019,2,ffffff,1987,7,"",,,,,,TRUE,TRUE,TRUE
401092371,s:40~l:54~e:401092371~c:401092371,2018-11-22T23:15Z,0,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'JUNKANOO JAM - JUNKANOO DIVISION'}]",2018-11-22T23:15Z,0,N/A,5451,Gateway Christian Academy,Bimini,Bahamas,0,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,201,s:40~l:54~t:201,Oklahoma,Sooners,OU,Oklahoma Sooners,Oklahoma,7b0000,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,5,s:40~l:54~t:5,UAB,Blazers,UAB,UAB Blazers,UAB,054338,ffc845,TRUE,2155,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,11,401092371,2019,2,cccccc,1991,8,"",,,,,,FALSE,TRUE,TRUE
401092880,s:40~l:54~e:401092880~c:401092880,2018-11-22T22:30Z,383,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'Vancouver Showcase'}]",2018-11-22T22:30Z,0,N/A,5999,Vancouver Convention Centre,Vancouver,BC,0,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,164,s:40~l:54~t:164,Rutgers,Scarlet Knights,RUTG,Rutgers Scarlet Knights,Rutgers,d21034,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,2181,s:40~l:54~t:2181,Drake,Bulldogs,DRKE,Drake Bulldogs,Drake,004477,c0c0c0,TRUE,2075,https://a.espncdn.com/i/teamlogos/ncaa/500/2181.png,18,401092880,2019,2,ffffff,2008,7,"",,,,,,TRUE,TRUE,TRUE
401091025,s:40~l:54~e:401091025~c:401091025,2018-11-22T22:30Z,0,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'PARADISE JAM - REEF DIVISION'}]",2018-11-22T22:30Z,0,N/A,2225,UVI Sports & Fitness Center,St. Thomas,Virgin Islands,3500,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2509,s:40~l:54~t:2509,Purdue,Boilermakers,PUR,Purdue Boilermakers,Purdue,B89D29,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,2599,s:40~l:54~t:2599,St. John's,Red Storm,SJU,St. John's Red Storm,St. John's,d10000,101010,TRUE,2019,https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png,4,401091025,2019,2,a4a9ad,399,7,"",,,,,,FALSE,TRUE,TRUE
401090730,s:40~l:54~e:401090730~c:401090730,2018-11-22T21:00Z,300,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'CANCUN CHALLENGE - RIVIERA TOURNAMENT'}]",2018-11-22T21:00Z,0,N/A,4575,Hard Rock Hotel Riviera Maya,Cancun,Mexico,0,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,45,s:40~l:54~t:45,George Washington,Colonials,GW,George Washington Colonials,G Washington,002843,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/45.png,59,s:40~l:54~t:59,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,00223e,002c56,TRUE,2206,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,2,401090730,2019,2,e8d2a1,2125,3,"",,,,,,TRUE,TRUE,TRUE
401091892,s:40~l:54~e:401091892~c:401091892,2018-11-22T20:00Z,1018,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'Vancouver Showcase'}]",2018-11-22T20:00Z,0,N/A,5999,Vancouver Convention Centre,Vancouver,BC,0,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,87,s:40~l:54~t:87,Notre Dame,Fighting Irish,ND,Notre Dame Fighting Irish,Notre Dame,00122b,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,2250,s:40~l:54~t:2250,Gonzaga,Bulldogs,GONZ,Gonzaga Bulldogs,Gonzaga,002967,cfd4d8,TRUE,1979,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,29,401091892,2019,2,ae9142,282,2,"",,,,,,TRUE,TRUE,TRUE
401091445,s:40~l:54~e:401091445~c:401091445,2018-11-22T20:00Z,0,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'JUNKANOO JAM - JUNKANOO DIVISION'}]",2018-11-22T20:00Z,9,QRR,5451,Gateway Christian Academy,Bimini,Bahamas,0,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2633,s:40~l:54~t:2633,Tennessee,Lady Volunteers,TENN,Tennessee Lady Volunteers,Tennessee,EE9627,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2633_ncw.png,228,s:40~l:54~t:228,Clemson,Tigers,CLEM,Clemson Tigers,Clemson,F66733,522d80,TRUE,1912,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,2,401091445,2019,2,ffffff,2044,23,"",,,,,,FALSE,TRUE,TRUE
401091893,s:40~l:54~e:401091893~c:401091893,2018-11-22T20:00Z,874,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'PARADISE JAM - ISLAND DIVISION'}]",2018-11-22T20:00Z,0,N/A,2225,UVI Sports & Fitness Center,St. Thomas,Virgin Islands,3500,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,26,s:40~l:54~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,005C8E,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,153,s:40~l:54~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,99bfe5,13294b,TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,401091893,2019,2,ffc72c,479,21,"",,,,,,TRUE,TRUE,TRUE
401091894,s:40~l:54~e:401091894~c:401091894,2018-11-22T18:30Z,0,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'CANCUN CHALLENGE - MAYAN TOURNAMENT'}]",2018-11-22T18:30Z,0,N/A,4575,Hard Rock Hotel Riviera Maya,Cancun,Mexico,0,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2306,s:40~l:54~t:2306,Kansas State,Wildcats,KSU,Kansas State Wildcats,Kansas State,633194,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,183,s:40~l:54~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,F37321,0d1d37,TRUE,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,2,401091894,2019,2,e7d2ad,2131,8,"",,,,,,TRUE,TRUE,TRUE
401090467,s:40~l:54~e:401090467~c:401090467,2018-11-22T18:00Z,874,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'PARADISE JAM - ISLAND DIVISION'}]",2018-11-22T18:00Z,0,N/A,2225,UVI Sports & Fitness Center,St. Thomas,Virgin Islands,3500,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,58,s:40~l:54~t:58,South Florida,Bulls,USF,South Florida Bulls,South Florida,004A36,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,96,s:40~l:54~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,TRUE,2100,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,401090467,2019,2,231f20,2041,62,"",,,,,,FALSE,TRUE,TRUE
