id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,game_id,season_type,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId
401264012,s:40~l:54~e:401264012~c:401264012,2021-01-24T20:00Z,0,True,False,True,False,[],2021-01-24T20:00Z,0,N/A,1947,Chaifetz Arena,St. Louis,MO,10600,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,139,s:40~l:54~t:139,Saint Louis,Billikens,SLU,Saint Louis Billikens,Saint Louis,00539C,ebebeb,True,1947,https://a.espncdn.com/i/teamlogos/ncaa/500/139.png,3,113,s:40~l:54~t:113,UMass,Minutewomen,MASS,UMass Minutewomen,UMass,880007,,True,1984,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png,3,401264012,2,,3,Atlantic 10 Conference,A 10,True,
401261337,s:40~l:54~e:401261337~c:401261337,2021-01-24T20:00Z,859,True,False,True,False,[],2021-01-24T20:00Z,0,N/A,5168,The Sandy and John Black Pavilion at Ole Miss,Oxford,MS,9500,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,145,s:40~l:54~t:145,Ole Miss,Rebels,MISS,Ole Miss Rebels,Ole Miss,001148,00205b,True,5168,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,23,57,s:40~l:54~t:57,Florida,Gators,FLA,Florida Gators,Florida,0021A5,0021a5,True,360,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,23,401261337,2,,23,Southeastern Conference,SEC,True,
401259107,s:40~l:54~e:401259107~c:401259107,2021-01-24T20:00Z,0,True,False,True,False,[],2021-01-24T20:00Z,0,N/A,1993,Mabee Center,Tulsa,OK,10575,True,0.0,0:00,5,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,4,198,s:40~l:54~t:198,Oral Roberts,Golden Eagles,ORU,Oral Roberts Golden Eagles,Oral Roberts,002955,ccb48c,True,1993,https://a.espncdn.com/i/teamlogos/ncaa/500/198.png,47,140,s:40~l:54~t:140,Kansas City,Roos,KC,Kansas City Roos,Kansas City,004b87,ffc72c,True,4052,https://a.espncdn.com/i/teamlogos/ncaa/500/140.png,47,401259107,2,OT,47,Summit League,Summit,True,
401262784,s:40~l:54~e:401262784~c:401262784,2021-01-24T20:30Z,50,True,False,True,False,[],2021-01-24T20:30Z,0,N/A,461,Lawlor Events Center,Reno,NV,11536,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,2440,s:40~l:54~t:2440,Nevada,Wolf Pack,NEV,Nevada Wolf Pack,Nevada,153E5F,8e9295,True,461,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,44,2751,s:40~l:54~t:2751,Wyoming,Cowgirls,WYO,Wyoming Cowgirls,Wyoming,533B22,ffffff,True,2053,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,44,401262784,2,,44,Mountain West Conference,Mountain West,True,
401264865,s:40~l:54~e:401264865~c:401264865,2021-01-24T21:00Z,0,True,False,True,False,[],2021-01-24T21:00Z,0,N/A,348,Kohl Center,Madison,WI,17142,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,275,s:40~l:54~t:275,Wisconsin,Badgers,WISC,Wisconsin Badgers,Wisconsin,A00000,f7f7f7,True,348,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,7,127,s:40~l:54~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan State,18453B,ffffff,True,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,401264865,2,,7,Big Ten Conference,Big Ten,True,
401263142,s:40~l:54~e:401263142~c:401263142,2021-01-24T21:00Z,0,True,False,True,False,[],2021-01-24T21:00Z,0,N/A,833,Desert Financial Arena,Tempe,AZ,14198,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,9,s:40~l:54~t:9,Arizona State,Sun Devils,ASU,Arizona State Sun Devils,Arizona State,942139,f1f2f3,True,833,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,21,254,s:40~l:54~t:254,Utah,Utes,UTAH,Utah Utes,Utah,890012,7e8083,True,,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,21,401263142,2,,21,Pac-12 Conference,Pac-12,True,
401262723,s:40~l:54~e:401262723~c:401262723,2021-01-24T21:00Z,0,True,False,True,False,[],2021-01-24T21:00Z,0,N/A,2111,Viejas Arena,San Diego,CA,12414,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,21,s:40~l:54~t:21,San Diego State,Aztecs,SDSU,San Diego State Aztecs,San Diego State,BF2C37,a8996e,True,2111,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,44,2005,s:40~l:54~t:2005,Air Force,Falcons,AFA,Air Force Falcons,Air Force,004a7b,ffffff,True,2014,https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,44,401262723,2,,44,Mountain West Conference,Mountain West,True,
401262324,s:40~l:54~e:401262324~c:401262324,2021-01-24T21:00Z,0,True,False,True,False,[],2021-01-24T21:00Z,0,N/A,2076,Stratis Arena at the Rothman Center,Teaneck,NJ,1852,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,161,s:40~l:54~t:161,Fairleigh Dickinson,Knights,FDU,Fairleigh Dickinson Knights,Fair Dickinson,28334a,ffffff,True,2076,https://a.espncdn.com/i/teamlogos/ncaa/500/161.png,19,2771,s:40~l:54~t:2771,Merrimack,Warriors,MRMK,Merrimack Warriors,Merrimack,2f4f93,e8c535,True,,https://a.espncdn.com/i/teamlogos/ncaa/500/2771.png,19,401262324,2,,19,Northeast Conference,NEC,True,
401259727,s:40~l:54~e:401259727~c:401259727,2021-01-24T21:00Z,0,True,False,True,False,[],2021-01-24T21:00Z,0,N/A,1910,Bender Arena,Washington,DC,3400,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,44,s:40~l:54~t:44,American University,Eagles,AMER,American University Eagles,American,c41130,c8102e,True,1910,https://a.espncdn.com/i/teamlogos/ncaa/500/44.png,22,2352,s:40~l:54~t:2352,Loyola (MD),Greyhounds,L-MD,Loyola (MD) Greyhounds,Loyola (MD),76a7a0,c9cbca,True,2093,https://a.espncdn.com/i/teamlogos/ncaa/500/2352.png,22,401259727,2,,22,Patriot League,Patriot,True,
401263185,s:40~l:54~e:401263185~c:401263185,2021-01-24T22:00Z,0,True,False,True,False,[],2021-01-24T22:00Z,0,N/A,506,Gill Coliseum,Corvallis,OR,9301,True,0.0,0:00,6,3,STATUS_FINAL,post,True,Final,Final/2OT,Final/2OT,4,204,s:40~l:54~t:204,Oregon State,Beavers,ORST,Oregon State Beavers,Oregon State,c34500,dea076,True,506,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,21,265,s:40~l:54~t:265,Washington State,Cougars,WSU,Washington State Cougars,Washington St,94022a,6a747c,True,2052,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png,21,401263185,2,2OT,21,Pac-12 Conference,Pac-12,True,
