id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,game_id,season,season_type,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor
223212306,s:40~l:54~e:223212306~c:223212306,2002-11-17T20:00Z,0,True,False,False,False,[],2002-11-17T20:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2306,s:40~l:54~t:2306,Kansas State,Wildcats,KSU,Kansas State Wildcats,Kansas State,633194,e7d2ad,True,2131,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,8,59,s:40~l:54~t:59,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,00223e,002c56,True,2206,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,2,223212306,2003,2,,,,,,,,,,,,
223210213,s:40~l:54~e:223210213~c:223210213,2002-11-17T18:00Z,0,True,False,False,False,[],2002-11-17T18:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,213,s:40~l:54~t:213,Penn State,Lady Lions,PSU,Penn State Lady Lions,Penn State,00265D,002e5c,True,1942,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,7,2561,s:40~l:54~t:2561,Siena,Saints,SIE,Siena Saints,Siena,037961,eea60f,True,2169,https://a.espncdn.com/i/teamlogos/ncaa/500/2561.png,13,223210213,2003,2,,,,,,,,,,,,
223210036,s:40~l:54~e:223210036~c:223210036,2002-11-17T20:00Z,0,True,False,False,False,[],2002-11-17T20:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,36,s:40~l:54~t:36,Colorado State,Rams,CSU,Colorado State Rams,Colorado State,004537,ffc425,True,475,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png,44,30,s:40~l:54~t:30,USC,Trojans,USC,USC Trojans,USC,ffc72c,ae2531,True,1918,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,21,223210036,2003,2,,,,,,,,,,,,
223210344,s:40~l:54~e:223210344~c:223210344,2002-11-17T20:00Z,0,True,False,False,False,[],2002-11-17T20:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,344,s:40~l:54~t:344,Mississippi State,Bulldogs,MSST,Mississippi State Bulldogs,Mississippi St,762123,c8c8c8,True,2095,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,23,202,s:40~l:54~t:202,Tulsa,Golden Hurricane,TLSA,Tulsa Golden Hurricane,Tulsa,004371,ee3b33,True,2049,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png,30,223210344,2003,2,,,,,,,,,,,,
223220166,s:40~l:54~e:223220166~c:223220166,2002-11-19T00:00Z,0,True,False,False,False,[],2002-11-19T00:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,166,s:40~l:54~t:166,New Mexico State,Aggies,NMSU,New Mexico State Aggies,New Mexico St,891216,000000,True,1937,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png,27,2201,s:40~l:54~t:2201,Eastern New Mexico,Greyhounds,ENM,Eastern New Mexico Greyhounds,Eastern NM,000000,,False,,,,223220166,2003,2,,,,,,,,,,,,
223232443,s:40~l:54~e:223232443~c:223232443,2002-11-20T01:00Z,0,True,False,False,False,[],2002-11-20T01:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2443,s:40~l:54~t:2443,New Orleans,Privateers,UNO,New Orleans Privateers,New Orleans,005da6,a2a9ae,True,1926,https://a.espncdn.com/i/teamlogos/ncaa/500/2443.png,27,2753,s:40~l:54~t:2753,Xavier (LA),Gold Rush,XAVL,Xavier (LA) Gold Rush,Xavier (LA),000000,,False,,,,223232443,2003,2,,,,,,,,,,,,
223242306,s:40~l:54~e:223242306~c:223242306,2002-11-21T01:30Z,0,True,False,False,False,[],2002-11-21T01:30Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2306,s:40~l:54~t:2306,Kansas State,Wildcats,KSU,Kansas State Wildcats,Kansas State,633194,e7d2ad,True,2131,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,8,30,s:40~l:54~t:30,USC,Trojans,USC,USC Trojans,USC,ffc72c,ae2531,True,1918,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,21,223242306,2003,2,,,,,,,,,,,,
223240213,s:40~l:54~e:223240213~c:223240213,2002-11-21T00:00Z,0,True,False,False,False,[],2002-11-21T00:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,213,s:40~l:54~t:213,Penn State,Lady Lions,PSU,Penn State Lady Lions,Penn State,00265D,002e5c,True,1942,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,7,344,s:40~l:54~t:344,Mississippi State,Bulldogs,MSST,Mississippi State Bulldogs,Mississippi St,762123,c8c8c8,True,2095,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,23,223240213,2003,2,,,,,,,,,,,,
223260150,s:40~l:54~e:223260150~c:223260150,2002-11-23T00:00Z,0,True,False,False,False,[],2002-11-23T00:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,150,s:40~l:54~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,001A57,f1f2f3,True,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,151,s:40~l:54~t:151,East Carolina,Pirates,ECU,East Carolina Pirates,East Carolina,4b1869,f0907b,True,2201,https://a.espncdn.com/i/teamlogos/ncaa/500/151.png,11,223260150,2003,2,,,,,,,,,,,,
223260012,s:40~l:54~e:223260012~c:223260012,2002-11-23T02:00Z,0,True,False,False,False,[],2002-11-23T02:00Z,0,N/A,0.0,0:00,3,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,2,12,s:40~l:54~t:12,Arizona,Wildcats,ARIZ,Arizona Wildcats,Arizona,002449,00205b,True,1064,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,21,99,s:40~l:54~t:99,LSU,Tigers,LSU,LSU Tigers,LSU,fdd023,2b0d57,True,557,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,23,223260012,2003,2,OT,,,,,,,,,,,
