id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.isActive,away.venue.id,away.logo,away.conferenceId,game_id,season,season_type,away.alternateColor,status.type.altDetail,tournamentId,groups.id,groups.name,groups.shortName,groups.isConference,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor
243160099,s:40~l:54~e:243160099~c:243160099,2004-11-12T01:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'WOMENS SPORTS FOUNDATION TR'}]",2004-11-12T01:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,99,s:40~l:54~t:99,LSU,Tigers,LSU,LSU Tigers,LSU,fdd023,2b0d57,True,557,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,23,311,s:40~l:54~t:311,Maine,Black Bears,MAINE,Maine Black Bears,Maine,127dbe,True,4605,https://a.espncdn.com/i/teamlogos/ncaa/500/311.png,1,243160099,2005,2,,,,,,,,,,,,,
243160009,s:40~l:54~e:243160009~c:243160009,2004-11-11T23:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'WOMENS SPORTS FOUNDATION TR'}]",2004-11-11T23:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,9,s:40~l:54~t:9,Arizona State,Sun Devils,ASU,Arizona State Sun Devils,Arizona State,942139,f1f2f3,True,833,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,21,258,s:40~l:54~t:258,Virginia,Cavaliers,UVA,Virginia Cavaliers,Virginia,f84c1e,True,1927,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,2,243160009,2005,2,ffffff,,,,,,,,,,,,
243170150,s:40~l:54~e:243170150~c:243170150,2004-11-13T00:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'PRESEASON WNIT'}]",2004-11-13T00:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,150,s:40~l:54~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,001A57,f1f2f3,True,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,2166,s:40~l:54~t:2166,Davidson,Wildcats,DAV,Davidson Wildcats,Davidson,000000,True,194,https://a.espncdn.com/i/teamlogos/ncaa/500/2166.png,24,243170150,2005,2,e51837,,,,,,,,,,,,
243170194,s:40~l:54~e:243170194~c:243170194,2004-11-13T00:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'PRESEASON WNIT'}]",2004-11-13T00:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,194,s:40~l:54~t:194,Ohio State,Buckeyes,OSU,Ohio State Buckeyes,Ohio State,DE3121,666666,True,317,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,7,189,s:40~l:54~t:189,Bowling Green,Falcons,BGSU,Bowling Green Falcons,Bowling Green,2b1000,True,2220,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png,14,243170194,2005,2,492000,,,,,,,,,,,,
243170087,s:40~l:54~e:243170087~c:243170087,2004-11-13T02:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'PRESEASON WNIT'}]",2004-11-13T02:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,87,s:40~l:54~t:87,Notre Dame,Fighting Irish,ND,Notre Dame Fighting Irish,Notre Dame,00122b,ae9142,True,282,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,4,2287,s:40~l:54~t:2287,Illinois State,Redbirds,ILST,Illinois State Redbirds,Illinois State,CE1126,True,1932,https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png,18,243170087,2005,2,ffe716,,,,,,,,,,,,
243170012,s:40~l:54~e:243170012~c:243170012,2004-11-13T02:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'PRESEASON WNIT'}]",2004-11-13T02:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,12,s:40~l:54~t:12,Arizona,Wildcats,ARIZ,Arizona Wildcats,Arizona,002449,00205b,True,1064,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,21,2608,s:40~l:54~t:2608,Saint Mary's,Gaels,SMC,Saint Mary's Gaels,Saint Mary's,003768,True,488,https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png,29,243170012,2005,2,d02f35,,,,,,,,,,,,
243170258,s:40~l:54~e:243170258~c:243170258,2004-11-12T23:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'WOMENS SPORTS FOUNDATION TR'}]",2004-11-12T23:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,258,s:40~l:54~t:258,Virginia,Cavaliers,UVA,Virginia Cavaliers,Virginia,f84c1e,ffffff,True,1927,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,2,311,s:40~l:54~t:311,Maine,Black Bears,MAINE,Maine Black Bears,Maine,127dbe,True,4605,https://a.espncdn.com/i/teamlogos/ncaa/500/311.png,1,243170258,2005,2,,,,,,,,,,,,,
243172603,s:40~l:54~e:243172603~c:243172603,2004-11-13T00:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'PRESEASON WNIT'}]",2004-11-13T00:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2603,s:40~l:54~t:2603,Saint Joseph's,Hawks,JOES,Saint Joseph's Hawks,Saint Joseph's,C2071B,101010,True,2150,https://a.espncdn.com/i/teamlogos/ncaa/500/2603.png,3,104,s:40~l:54~t:104,Boston University,Terriers,BU,Boston University Terriers,Boston Univ,cc0000,True,1999,https://a.espncdn.com/i/teamlogos/ncaa/500/104.png,1,243172603,2005,2,ffffff,,,,,,,,,,,,
243172393,s:40~l:54~e:243172393~c:243172393,2004-11-13T00:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'PRESEASON WNIT'}]",2004-11-13T00:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2393,s:40~l:54~t:2393,Middle Tennessee,Lady Raiders,MTU,Middle Tennessee Lady Raiders,MTSU,0079C2,c3c5c8,True,1897,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,27,58,s:40~l:54~t:58,South Florida,Bulls,USF,South Florida Bulls,South Florida,004A36,True,2041,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,11,243172393,2005,2,231f20,,,,,,,,,,,,
243170242,s:40~l:54~e:243170242~c:243170242,2004-11-13T01:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'PRESEASON WNIT'}]",2004-11-13T01:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,242,s:40~l:54~t:242,Rice,Owls,RICE,Rice Owls,Rice,003D7D,d1d5d8,True,1902,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png,30,2377,s:40~l:54~t:2377,McNeese,Cowgirls,MCNS,McNeese Cowgirls,McNeese,00529C,True,6007,https://a.espncdn.com/i/teamlogos/ncaa/500/2377.png,25,243170242,2005,2,,,,,,,,,,,,,
