id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,status.type.altDetail,season,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,game_id,PBP,team_box,player_box
401166721,s:40~l:54~e:401166721~c:401166721,2020-02-21T02:00Z,1656,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T02:00Z,0,N/A,1953,Auburn Arena,Auburn,AL,9121,TRUE,0,0:00,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,s:40~l:54~t:2,Auburn,Tigers,AUB,Auburn Tigers,Auburn,03244d,f1f2f3,TRUE,1953,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,23,344,s:40~l:54~t:344,Mississippi State,Bulldogs,MSST,Mississippi State Bulldogs,Mississippi St,762123,c8c8c8,TRUE,2095,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,23,OT,2020,23,Southeastern Conference,SEC,TRUE,,401166721,TRUE,TRUE,TRUE
401174666,s:40~l:54~e:401174666~c:401174666,2020-02-21T02:00Z,1808,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T02:00Z,0,N/A,2065,Worthington Arena,Bozeman,MT,7000,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,147,s:40~l:54~t:147,Montana State,Bobcats,MTST,Montana State Bobcats,Montana State,003875,bf965c,TRUE,2065,https://a.espncdn.com/i/teamlogos/ncaa/500/147.png,5,2502,s:40~l:54~t:2502,Portland State,Vikings,PRST,Portland State Vikings,Portland State,00311e,ebebeb,TRUE,6020,https://a.espncdn.com/i/teamlogos/ncaa/500/2502.png,5,"",2020,5,Big Sky Conference,Big Sky,TRUE,,401174666,TRUE,TRUE,TRUE
401174665,s:40~l:54~e:401174665~c:401174665,2020-02-21T02:00Z,956,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T02:00Z,0,N/A,1904,Reed Gym,Pocatello,ID,3040,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,304,s:40~l:54~t:304,Idaho State,Bengals,IDST,Idaho State Bengals,Idaho State,ef8c00,e9a126,TRUE,1904,https://a.espncdn.com/i/teamlogos/ncaa/500/304.png,5,2692,s:40~l:54~t:2692,Weber State,Wildcats,WEB,Weber State Wildcats,Weber State,18005a,ebebeb,TRUE,2198,https://a.espncdn.com/i/teamlogos/ncaa/500/2692.png,5,"",2020,5,Big Sky Conference,Big Sky,TRUE,,401174665,TRUE,TRUE,TRUE
401174664,s:40~l:54~e:401174664~c:401174664,2020-02-21T01:30Z,355,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T01:30Z,0,N/A,2023,J. Lawrence Walkup Skydome,Flagstaff,AZ,3300,TRUE,0,0:00,6,3,STATUS_FINAL,post,TRUE,Final,Final/2OT,Final/2OT,2464,s:40~l:54~t:2464,Northern Arizona,Lumberjacks,NAU,Northern Arizona Lumberjacks,N Arizona,003976,1b3069,TRUE,2023,https://a.espncdn.com/i/teamlogos/ncaa/500/2464.png,5,70,s:40~l:54~t:70,Idaho,Vandals,IDHO,Idaho Vandals,Idaho,000000,8c6e4a,TRUE,2018,https://a.espncdn.com/i/teamlogos/ncaa/500/70.png,5,2OT,2020,5,Big Sky Conference,Big Sky,TRUE,,401174664,TRUE,TRUE,TRUE
401174663,s:40~l:54~e:401174663~c:401174663,2020-02-21T01:30Z,1005,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T01:30Z,0,N/A,1960,America First Events Center,Cedar City,UT,5300,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,253,s:40~l:54~t:253,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Southern Utah,d10000,c2c3c0,TRUE,1960,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,5,2458,s:40~l:54~t:2458,Northern Colorado,Bears,UNCO,Northern Colorado Bears,N Colorado,13558D,ffc533,TRUE,2168,https://a.espncdn.com/i/teamlogos/ncaa/500/2458.png,5,"",2020,5,Big Sky Conference,Big Sky,TRUE,,401174663,TRUE,TRUE,TRUE
401171314,s:40~l:54~e:401171314~c:401171314,2020-02-21T01:00Z,1402,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T01:00Z,0,N/A,1985,Watsco Center,Coral Gables,FL,7972,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2390,s:40~l:54~t:2390,Miami,Hurricanes,MIA,Miami Hurricanes,Miami,004325,f0f0f0,TRUE,1985,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,2,152,s:40~l:54~t:152,NC State,Wolfpack,NCST,NC State Wolfpack,NC State,EF1216,231f20,TRUE,2139,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,2,"",2020,2,Atlantic Coast Conference,ACC,TRUE,,401171314,TRUE,TRUE,TRUE
401166723,s:40~l:54~e:401166723~c:401166723,2020-02-21T01:00Z,1180,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T01:00Z,0,N/A,5168,The Pavilion at Ole Miss,Oxford,MS,9500,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,145,s:40~l:54~t:145,Ole Miss,Rebels,MISS,Ole Miss Rebels,Ole Miss,001148,00205b,TRUE,5168,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,23,96,s:40~l:54~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,TRUE,2100,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,"",2020,23,Southeastern Conference,SEC,TRUE,,401166723,TRUE,TRUE,TRUE
401179992,s:40~l:54~e:401179992~c:401179992,2020-02-21T01:00Z,2260,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T01:00Z,0,N/A,5432,Sanford Coyote Sports Center,Vermillion,SD,6000,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,233,s:40~l:54~t:233,South Dakota,Coyotes,SDAK,South Dakota Coyotes,South Dakota,CD1241,f0f0f0,TRUE,5432,https://a.espncdn.com/i/teamlogos/ncaa/500/233.png,47,2449,s:40~l:54~t:2449,North Dakota St,Bison,NDSU,North Dakota St Bison,North Dakota St,01402A,ffffff,TRUE,5433,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,47,"",2020,47,Summit League,Summit,TRUE,,401179992,TRUE,TRUE,TRUE
401180006,s:40~l:54~e:401180006~c:401180006,2020-02-21T01:00Z,929,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T01:00Z,0,N/A,2197,LeRoy A. Ufkes Court at Western Hall,Macomb,IL,5139,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2710,s:40~l:54~t:2710,Western Illinois,Leathernecks,WIU,Western Illinois Leathernecks,W Illinois,4e1e8a,ffc90a,TRUE,2197,https://a.espncdn.com/i/teamlogos/ncaa/500/2710.png,47,2437,s:40~l:54~t:2437,Omaha,Mavericks,OMA,Omaha Mavericks,Omaha,e3193e,"",TRUE,5059,https://a.espncdn.com/i/teamlogos/ncaa/500/2437.png,47,"",2020,47,Summit League,Summit,TRUE,,401180006,TRUE,TRUE,TRUE
401179978,s:40~l:54~e:401179978~c:401179978,2020-02-21T01:00Z,1394,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T01:00Z,0,N/A,1950,Betty Engelstad Sioux Center,Grand Forks,ND,3300,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,155,s:40~l:54~t:155,North Dakota,Fighting Hawks,UND,North Dakota Fighting Hawks,North Dakota,00A26B,c2c3c0,TRUE,1950,https://a.espncdn.com/i/teamlogos/ncaa/500/155.png,47,2571,s:40~l:54~t:2571,South Dakota State,Jackrabbits,SDST,South Dakota State Jackrabbits,South Dakota St,005DAB,c33139,TRUE,1996,https://a.espncdn.com/i/teamlogos/ncaa/500/2571.png,47,"",2020,47,Summit League,Summit,TRUE,,401179978,FALSE,TRUE,TRUE
