lineup,lineup_id,season
"Brittany Boyd-Jones, Kiah Stokes, Shavonte Zellous, Sugar Rodgers, Tina Charles",1,2017
"Alex Montgomery, Dearica Hamby, Erika de Souza, Sequoia Holmes, Sydney Colson",2,2017
"Bria Hartley, Kiah Stokes, Shavonte Zellous, Sugar Rodgers, Tina Charles",3,2017
"Alex Montgomery, Dearica Hamby, Isabelle Harrison, Sequoia Holmes, Sydney Colson",4,2017
"Bria Hartley, Epiphanny Prince, Shavonte Zellous, Sugar Rodgers, Tina Charles",5,2017
"Alex Montgomery, Dearica Hamby, Isabelle Harrison, Monique Currie, Sydney Colson",6,2017
"Bria Hartley, Epiphanny Prince, Kia Vaughn, Shavonte Zellous, Tina Charles",7,2017
"Alex Montgomery, Isabelle Harrison, Kayla Alexander, Monique Currie, Sydney Colson",8,2017
"Bria Hartley, Cierra Burdick, Epiphanny Prince, Kia Vaughn, Tina Charles",9,2017
"Alex Montgomery, Haley Peters, Isabelle Harrison, Kayla Alexander, Monique Currie",10,2017
"Amanda Zahui B, Bria Hartley, Cierra Burdick, Epiphanny Prince, Kia Vaughn",11,2017
"Alex Montgomery, Haley Peters, Kayla Alexander, Monique Currie, Nia Coffey",12,2017
"Bria Hartley, Cierra Burdick, Epiphanny Prince, Kia Vaughn, Nayo Raincock-Ekunwe",13,2017
"Alex Montgomery, Erika de Souza, Haley Peters, Monique Currie, Nia Coffey",14,2017
"Alex Montgomery, Erika de Souza, Monique Currie, Nia Coffey, Sydney Colson",15,2017
"Cierra Burdick, Epiphanny Prince, Kia Vaughn, Nayo Raincock-Ekunwe, Sugar Rodgers",16,2017
"Erika de Souza, Monique Currie, Nia Coffey, Sequoia Holmes, Sydney Colson",17,2017
"Cierra Burdick, Epiphanny Prince, Kiah Stokes, Nayo Raincock-Ekunwe, Sugar Rodgers",18,2017
"Erika de Souza, Isabelle Harrison, Monique Currie, Sequoia Holmes, Sydney Colson",19,2017
"Cierra Burdick, Epiphanny Prince, Kiah Stokes, Sugar Rodgers, Tina Charles",20,2017
"Dearica Hamby, Isabelle Harrison, Monique Currie, Sequoia Holmes, Sydney Colson",21,2017
"Epiphanny Prince, Kiah Stokes, Shavonte Zellous, Sugar Rodgers, Tina Charles",22,2017
"Haley Peters, Isabelle Harrison, Monique Currie, Sequoia Holmes, Sydney Colson",23,2017
"Alex Montgomery, Haley Peters, Isabelle Harrison, Sequoia Holmes, Sydney Colson",24,2017
"Bria Hartley, Kia Vaughn, Shavonte Zellous, Sugar Rodgers, Tina Charles",25,2017
"Alex Montgomery, Haley Peters, Isabelle Harrison, Monique Currie, Sequoia Holmes",26,2017
"Alex Montgomery, Dearica Hamby, Isabelle Harrison, Monique Currie, Sequoia Holmes",27,2017
"Alex Montgomery, Erika de Souza, Isabelle Harrison, Monique Currie, Sequoia Holmes",28,2017
"Alex Montgomery, Erika de Souza, Isabelle Harrison, Monique Currie, Sydney Colson",29,2017
"Brittany Boyd-Jones, Kia Vaughn, Shavonte Zellous, Sugar Rodgers, Tina Charles",30,2017
"Brittany Boyd-Jones, Epiphanny Prince, Kia Vaughn, Shavonte Zellous, Tina Charles",31,2017
"Brittany Boyd-Jones, Cierra Burdick, Epiphanny Prince, Kia Vaughn, Tina Charles",32,2017
"Alex Montgomery, Isabelle Harrison, Kayla Alexander, Sequoia Holmes, Sydney Colson",33,2017
"Isabelle Harrison, Kayla Alexander, Monique Currie, Sequoia Holmes, Sydney Colson",34,2017
"Alex Montgomery, Dearica Hamby, Monique Currie, Nia Coffey, Sydney Colson",35,2017
"Cierra Burdick, Epiphanny Prince, Kia Vaughn, Nayo Raincock-Ekunwe, Tina Charles",36,2017
"Cierra Burdick, Epiphanny Prince, Kiah Stokes, Nayo Raincock-Ekunwe, Tina Charles",37,2017
"Brittany Boyd-Jones, Cierra Burdick, Epiphanny Prince, Kiah Stokes, Tina Charles",38,2017
"Brittany Boyd-Jones, Epiphanny Prince, Kiah Stokes, Shavonte Zellous, Tina Charles",39,2017
"Erika de Souza, Haley Peters, Monique Currie, Nia Coffey, Sequoia Holmes",40,2017
"Haley Peters, Isabelle Harrison, Monique Currie, Nia Coffey, Sequoia Holmes",41,2017
"Alex Montgomery, Isabelle Harrison, Monique Currie, Nia Coffey, Sequoia Holmes",42,2017
"Brittany Boyd-Jones, Kia Vaughn, Nayo Raincock-Ekunwe, Shavonte Zellous, Sugar Rodgers",43,2017
