lineup,lineup_id,season
"Amanda Zahui B, Asia (AD) Durr, Bria Hartley, Brittany Boyd-Jones, Reshanda Gray",61,2019
"Betnijah Laney, Kelsey Mitchell, Natalie Achonwa, Stephanie Mavunga, Tiffany Mitchell",62,2019
"Amanda Zahui B, Asia (AD) Durr, Brittany Boyd-Jones, Kia Nurse, Reshanda Gray",63,2019
"Betnijah Laney, Candice Dupree, Kelsey Mitchell, Natalie Achonwa, Tiffany Mitchell",64,2019
"Betnijah Laney, Candice Dupree, Erica Wheeler, Kelsey Mitchell, Tiffany Mitchell",65,2019
"Asia (AD) Durr, Brittany Boyd-Jones, Kia Nurse, Reshanda Gray, Tina Charles",66,2019
"Betnijah Laney, Candice Dupree, Erica Wheeler, Teaira McCowan, Tiffany Mitchell",67,2019
"Candice Dupree, Erica Wheeler, Natalie Achonwa, Shenise Johnson, Tiffany Mitchell",68,2019
"Amanda Zahui B, Kia Nurse, Rebecca Allen, Tanisha Wright, Tina Charles",69,2019
"Asia (AD) Durr, Han Xu, Kia Nurse, Tanisha Wright, Tina Charles",70,2019
"Betnijah Laney, Candice Dupree, Erica Wheeler, Kelsey Mitchell, Teaira McCowan",71,2019
"Asia (AD) Durr, Kia Nurse, Reshanda Gray, Tanisha Wright, Tina Charles",72,2019
"Candice Dupree, Erica Wheeler, Kelsey Mitchell, Teaira McCowan, Tiffany Mitchell",73,2019
"Asia (AD) Durr, Bria Hartley, Kia Nurse, Reshanda Gray, Tina Charles",74,2019
"Amanda Zahui B, Asia (AD) Durr, Bria Hartley, Kia Nurse, Reshanda Gray",75,2019
"Amanda Zahui B, Asia (AD) Durr, Bria Hartley, Reshanda Gray, Tina Charles",76,2019
"Amanda Zahui B, Asia (AD) Durr, Bria Hartley, Rebecca Allen, Tina Charles",77,2019
"Amanda Zahui B, Bria Hartley, Kia Nurse, Rebecca Allen, Tina Charles",78,2019
"Amanda Zahui B, Asia (AD) Durr, Bria Hartley, Kia Nurse, Tina Charles",79,2019
"Amanda Zahui B, Bria Hartley, Kia Nurse, Tanisha Wright, Tina Charles",80,2019
"Betnijah Laney, Candice Dupree, Erica Wheeler, Natalie Achonwa, Tiffany Mitchell",81,2019
"Candice Dupree, Erica Wheeler, Kelsey Mitchell, Natalie Achonwa, Tiffany Mitchell",82,2019
"Briann January, Brittney Griner, DeWanna Bonner, Essence Carson, Yvonne Turner",83,2019
"Crystal Langhorne, Jewell Loyd, Jordin Canada, Kaleena Mosqueda-Lewis, Natasha Howard",84,2019
"Alanna Smith, Briann January, Brittney Griner, DeWanna Bonner, Yvonne Turner",85,2019
"Crystal Langhorne, Jewell Loyd, Jordin Canada, Natasha Howard, Shavonte Zellous",86,2019
