lineup,lineup_id,season
"Betnijah Laney, Kylee Shook, Michaela Onyenwere, Sabrina Ionescu, Sami Whitcomb",1,2021
"Danielle Robinson, Jantel Lavender, Kelsey Mitchell, Teaira McCowan, Victoria Vivians",2,2021
"Jantel Lavender, Kelsey Mitchell, Lindsay Allen, Teaira McCowan, Victoria Vivians",3,2021
"Betnijah Laney, Joyner Holmes, Michaela Onyenwere, Sabrina Ionescu, Sami Whitcomb",4,2021
"Kelsey Mitchell, Lindsay Allen, Teaira McCowan, Tiffany Mitchell, Victoria Vivians",5,2021
"Betnijah Laney, Jazmine Jones, Joyner Holmes, Michaela Onyenwere, Sabrina Ionescu",6,2021
"Jessica Breland, Kelsey Mitchell, Lindsay Allen, Teaira McCowan, Tiffany Mitchell",7,2021
"Betnijah Laney, Jazmine Jones, Joyner Holmes, Layshia Clarendon, Michaela Onyenwere",8,2021
"Jantel Lavender, Jessica Breland, Lindsay Allen, Teaira McCowan, Tiffany Mitchell",9,2021
"Jantel Lavender, Jessica Breland, Kysre Gondrezick, Lindsay Allen, Tiffany Mitchell",10,2021
"Jazmine Jones, Joyner Holmes, Layshia Clarendon, Reshanda Gray, Sami Whitcomb",11,2021
"Jazmine Jones, Joyner Holmes, Reshanda Gray, Sabrina Ionescu, Sami Whitcomb",12,2021
"Joyner Holmes, Kylee Shook, Reshanda Gray, Sabrina Ionescu, Sami Whitcomb",13,2021
"Jantel Lavender, Jessica Breland, Kelsey Mitchell, Lindsay Allen, Tiffany Mitchell",14,2021
"Kylee Shook, Michaela Onyenwere, Reshanda Gray, Sabrina Ionescu, Sami Whitcomb",15,2021
"Danielle Robinson, Jantel Lavender, Jessica Breland, Kelsey Mitchell, Tiffany Mitchell",16,2021
"Danielle Robinson, Jessica Breland, Kelsey Mitchell, Teaira McCowan, Tiffany Mitchell",17,2021
"Chelsey Perry, Danielle Robinson, Kelsey Mitchell, Teaira McCowan, Tiffany Mitchell",18,2021
"Chelsey Perry, Danielle Robinson, Kelsey Mitchell, Teaira McCowan, Victoria Vivians",19,2021
"Danielle Robinson, Jessica Breland, Kelsey Mitchell, Teaira McCowan, Victoria Vivians",20,2021
"Jessica Breland, Kelsey Mitchell, Lindsay Allen, Teaira McCowan, Victoria Vivians",21,2021
"Betnijah Laney, Jazmine Jones, Kylee Shook, Michaela Onyenwere, Sabrina Ionescu",22,2021
"Betnijah Laney, Jazmine Jones, Michaela Onyenwere, Reshanda Gray, Sabrina Ionescu",23,2021
"Betnijah Laney, DiDi Richards, Jazmine Jones, Reshanda Gray, Sabrina Ionescu",24,2021
"Danielle Robinson, Jantel Lavender, Kelsey Mitchell, Teaira McCowan, Tiffany Mitchell",25,2021
"Danielle Robinson, Jessica Breland, Kysre Gondrezick, Teaira McCowan, Tiffany Mitchell",26,2021
"Danielle Robinson, Jantel Lavender, Jessica Breland, Kysre Gondrezick, Tiffany Mitchell",27,2021
